tgt,src
you won't pay me coffe,ماغاديش تخلصنيش ل قهوة
When will you reveal that secret?,إمتا غادي ت كشف على هاد السر؟
i played console 1 hour,كنت لعب على ليكونسول ساعة
I'm wondering if I protect him,تانفكر واش ن دافع عليه
you alobe,نتا ألوبي
your place is empty,بلاصتك خاوية
Don't meke a scene,بلا ماتخلّص شي مشهد
You'ill always find me working,ديما غادي تلقيني خدام
we didn't know what to do,ماعرفتو أش نديرو
this boy is deep,راه عميق هاد ولد
outside,خارج
he is keeping his money to  himself,كايبقا فلوسو
we went to cattle shop,مشينا لدار ديال الماشية
she is not picky ,ماشي شحالة
he became her fiancee,و قدّم ليها
You are breaking up,نتا كتهرب
the day of hanna was done,نهار الحنّا تمّا
We had to call a plumber,كان خاصنا نعيطو على سباب
it's much more interesting than your history of genealogist and treasure,راه مزيان بزاف من تاريخك ديال العائلة والكنز
you are invited ,نتا مدعو
We'll see,غانشوفو
no one know this,تا واحد ماعرف هادشي
he ran from prison,هرب من السجن
I forget stuff,كانساو شي حاجة
the shop is open,المحل راه مفتوح
only 4 hours,غير 4 ساعات
"I know, but who's fault is that?",أنا عارفة، ولكن من كايكون ليكس هادشي؟
its sufficient,كافي هادشي
who is calling in this time,شكون كايتصل لهاد الساعة
you brought too many games,جبتي بزاف ديال لعبة
she gave birth ,ولدت
maybe my sis came,إمكن ختي جايت
he will fill a report,غادي يملّو شي تقرير
whats her problem,شنو المشكل ديالو
Did you ask that good looking professor?,واش سّلتي ل هاد أستاد زوين؟
come help me,أجي عاوني
They will lessen the burden on their house.,غادي يقللوا من لدار
she is a liar,راه كداب
"No, but it's too late now that you've offered it",لا، ولكن تعطّل بزّاف دابا نتا عاويتيها
Tomorrow I am going to see the doctor,غدا غانمشّ ل طبيب
you lie too much,راك كدبي بزاف
Let me cut,خليني نقص
what languages are commonly spoken in this country?,أشنو اللغات لي كايڭولو ف هاد البلاد؟
they must be a reason,خاصو يكونو سبب
I'm waiting for you to get mad,كانتسنّا فيك ت درّب
Thank you so much.,شكران بزاف.
yesterday i saw a good girl,البارح شفت واحد البنتة مزيانة
or before shower,ولا قبل من الحمام
he doesnt believe you,ماعطلش عليك
You don't want to buy something,مابغيتيش ت شري شي حاجة
I presume you mean lanes,كانضنش بلي عندك ل لڭول
It is lovely and fresh,زوين و طازح
"All right, look, I think we're all gone",واخا، شوف، كانضنّ كوننا مشينا كولّه
He quit the job,تخلي من الخدمة
which day of the month now,شكون نهار ديال شهر دابا
"yes, i need to relax",آه، خاصني نرتاح
fill this request paper,كملّ هاد لوراق ديال طلب
"But it must take her some time, to take care of you.",ولكن خايخدّها شي وقت، باش تعتقل عليك.
you should never do bad haircut,عمرك ت قصّر شعرك
Don't discuss with him,بلا ما تناقش معاه
gastric,المعدة
"Yes, it's a fantastic job!",آه، خدام رائع!
he is breathing strongly,راه كايتنفس بزاف
where is the man,فيناهوا هاد راجل
perfum,العطر
How may I assist you?,كيفاش نقدر نعاونك؟
i will travel,أنا غادي نسافر
the night will be noisy,ليل غادي يكون هاد ليل
you are not cheap,ماشي راك رخيصة
"Drink or food, by the way","شرب ولا تاكل, بالمناسبة"
are you a fan of trying new foods or sticking to favorites?,واش نتا عجبك تجرب الماكلة الجديدة ولا تلتف على الماكلة المفضلة؟
give me his number,عطيني نمره
how much you did here ?,شحال درتي هنا؟
abroad they pay better,فبلاد كايخلصو مزيان
weird what you say,غريب هادشي لي كاتڭول
How many sisters do you have?,شحال ديال الخوات عندك؟
i went down,راه نزلت
people are skeptical,ناسّ مابقاوش متيقين
its been a while i didnt come here,راه زمن ماجيتش هنا
You don't want to mind your business,مابغيتيش تخلّص ف ديك لخدمة
wait for him,تسنّا
I dont think he will go eat lunch,مانضنش غادي يخرج يتغدا
"Hence the necessary coffee, and a mojito",من هنا القهوة الضروري، و موجيتو
she found a job in this school,لقات خدمة فهاد المدرسة
Have you tried give back the money you borrowed,عمرك جربتي تعيّد ليا فلوسّك لي سلفتي
we don't eat meat,ماكاناكلوش لحوم
think about this well,فكّر ف هادشي
what page are we on?,أشناهوا الصفحة لي كاينا?
you said it,قلتيها
lucky if you go abroad,نتا مزن نتوّر لخير
you are too late to take responsability,تعطلي بزّاف باش تقدي مسؤولية
if only I could untie the dog,كون غير قدرت ن خلّص داك لكلب
do like parlamant,دير بحال لي في البرلمان
i need to do analysis,خاصني ندير تحليل
if you saw him,إيلا شفتيه
Behind the bank.,منور البنكة.
i'm introverted,أنا متخلّص
my arm is fine,ليا ليدّي صافي
did you find it,واش لقيتي
can you assist me in finding products suitable for hair?,تقدر تعاوني ف البحث من شي منتجات مناسبين ل شعر؟
i took her to the clinic,مشيت بيها ليكلينك
I just checked and you can find the song on youtube,أنا غير قريت ليا و تقدر لقيتي هاد لغنية ف يوتيوب
Let's go!,يالاه نمشيو!
find another place,لقيتي بلاصة أخرى
you are too late to eat chicken,تعطلي بزّاف باش تأكل دجاج
he made her like that,راه هو لي درها
I was thinking to drink that medicine,كنفكّر واش نشرب ديك دوا
we continue training,و لكننا مازالنا ف التدريب
you became a partner,راسك شريك
she is shy,راه خايبة
i will invite you to a pastry,أنا غادي ندعو ليك شي كيس
with good health,مع صحة مزيانة
remember when we faced that challenge together?,عارفك ملي واجهها هاد التحدي معا؟
you've been missing,راه مليتيها
his hair is falling,شعرو كايسقط
i did bowling,كنت كان كايبول
thanks for asking,شكران على طلبك
studying is near,القراية قريبة
I think if i could  fix this machine,تانفكّر واش نقدر نصلح هاد الماكينة
they bought a dog,شريو لكلب
why you dont wanna close the door,علاش مابغيتيش تسد الباب
i go from work,أنا كانمشي من الخدمة
he still alive breathing,مازال حيا كايتنفّس
his father is too harsh,بايه قاسح بزّاف
I'd love an Fanta,بغيت فانتا
if you please,إيلا عفاك
i thought that you discareded this bad habbit,كان كيسحاب ليا غادي تخلص من هاد المماركة الخايبة
Should we call?,واش ندعو ليك؟
this talk isnt proper,هاد الحضرة ماشي مناسبة
"Sorry, I didn't catch what you said ",سمحلي، مافهمش دكشي لي قلتي
How are you this evening?,كيداك هاد العشية؟
"Come on, let's start the game.",أجي، نبداو ل لعبة.
i'm fed up,أنا مسخ
I dont think this boat will sink,مانضنش غادي يغرق هاد البوت
Have you tried to hate someone,عمرك جربتي تكره شي حد
this master's is not sucessful,هاد الماستاد ماشي ناجح
she became irrespectful,راه غير غير غير غير غير غير غير غير غير غير غير غير غير غير غير غير غير غير غير غير غير غير
that's okay,هادشي ماشي مشكل
the air is clean in the countryside,هوا صافي ف البلاد
go train ,سير تران
Have you tried to forsake your right,عمرك جربتي تخلّي على حقك
i was sitting at the door,كنت كنت دابا كنت كانجلس عند الباب
i was sad at you,كنت حزين عليك
I'm waiting for you to refuse the invitation,كانتسنّا فيك ت رفد هاد دعوة
i congratulated you,أنا كنت تبريك
Without asking me anything.,بلا ما تسوليني على شي حاجة.
his number,نمرة ديالو
this student is good,راه مزيان هاد الطالب
you went abroad,مشيتي لبرّا
god keep us,الله يوفينا
What do you usually do on holiday?,شنو كادير عادة فالعطلة؟
what are you saying,شنو كاتڭول
our past is important to remember,ماعمرنا مهم نتذكرو
do you wait someone,واش كتنتق شي حد
Let me finish my work,خليني نخرّص الخدمة ديالي
he only thinkinh about his life,كايفكر غير ف حياته
Have you tried to limit this place,عمرك جربتي تحدّد هاد لبلاصة
answer your phone,جاوب تيليفونك
its too much i stay renting,بزّاف من الوقت راه بقيت فالكرا
You don't want to honor your country,مابغيتيش تكرم بلادك
You don't want to share your food,مابغيتيش تشارك معاك
you dont let it pass,ماغاديش ت خليها تمر
i can't forget them,ماكانقدرش ننساهوم
How about a whiskey?,أش بان ليك ويسكي؟
i thought that you will beat him,كان كيسحاب ليا غادي ت ماتّه
I'm thirsty,عندي عطش
we have too many meering today,اليوم عندنا بزاف ديال اللقاءات
i found peace,لقيت هادية
work early,الخدمة بكري
the dog were barking,كايبدو الكلب كايبدو
who would mind,شكون لي كايعجبو
did you get paid this month,واش توليتو هاد شهر
he stays always aware,ديما كايبقى واعي
Do I need a University Degree to get a job working to change the environment?,واش خاصني شي درجة جامعية باش نلقى خدمة باش نبدّل البيئة؟
its efficient,راه موثّق
go with us to the beach ?,سير معايا لبحر؟
I think of asking him to come,تانفكّر واش نطلبو يجي
this is the kid i want,هاداك هو الولد لي بغيت
honestly I don't know what to say,بصراحة ماعرفتش أش نقول
this is a new movie,هادي فيلم جديد
I haven't finished eating.,ماكملتش الماكلة.
i need to deal with him,خاصني نتعامل معاه
it's a special occasion after all,هادا هو مناسبة خاصة
I regretted leaving him,ندمت على خليته
why you dont wanna go play,علاش مابغيتيش تمشي تلعب
i never did it,ماعمرني ماعمرني
I understand perfectly,فهمت مزيان
i'm so happy for you,أنا فرحانة عليك
i saw a good thing,شفت شي حاجة مزيانة
i am ready may i start it?,أنا جاهز إوا نقدر نبداو؟
I do think that could be a solution,كانضن هادشي إمكان حل
you have doctorat and u get paid 5500dh,عندك دكتوراه و كاتخسر 5500 درهم
until now we didn't do anything,حتى هاك نهدرنا والو
When you said regular table I thought I was sitting at another customer's regular table,فاش قلتي طابلة عادية كان كيسحاب ليا كان كايحسبني كنت غير كاين ف طابلة عادية ديال شي كليان
i vomitted in front of people,راني كنت نقيّد فجينا
It's gonna be really beautiful,غايكون زوين بزاف
Have you tried to argue with your mother,عمرك جربتي تناقش مع ماماك
Let me pay,خليني ندفع
you should help yourself,خاصك تساعد راسك
But why a musical instrument?,و لكن علاش آليات موسيقية؟
i will not have a fight with my brother,مابقيتش باغي نتشاور مع خويا
to take advantage of the city and everything she can offer,باش تستفيد من المدينة و كلشي لي تقدم
he is a driver professional,هو سوبير محترف
She has a beautiful caftan.,عندها كفتان زوين.
thursday,الخميس
Whose kid is this?,شكون ولد هادشي؟
i will occupy,أنا غادي نحتل
you doubt her,كاتشكك فيها
you are too happy today ,اليوم فرحان بزّاف
role has changed,دور تغير
he is a seasonal workers,هو خادم ف الموسم
the car is too much worn,طونوبيلة خايبة بزاف
"Well, I suppose we could use my phone as a light",واخا، كانضنش إمكن نستعملو تيليفون ديالي كشيرا
this is looking well,هادشي كايبان مزيان
i will not swim i get sick,مابقيتش باغي نعوم كاندوزني
you didn't know about this earlier,واش ماعرفتيش هادشي من قبل
the beach is stable,البحر مستقر
how do people show respect for their elders?,كيفاش كايبقى الناس كايحترمو ليكبران؟
"You know, he thought I didn't know what him and Maryam were doing when they said they were playing handball...",عارف، كان كايحسّ بانّي ماعرفتش أش كانو كايدير مع مريم ملي قالو بلي كانلعبو ل ليد كورة...
if were you i won't get prengnat from him,كون كنتي ماكانش غادي نولد من هاداك
I can't ruin his mood,مانقدرش نبردّو
prime is ending,راجل راجل كايخرسي
"Sister, I need you in my life ","ختي, أنا محتاجة فيك ف حياتي"
everyone loves dolphins,كولشي كايبغيك دلفين
the rocks gets lost easily,الڭاع ديال الحجر كايضيعو بسهولة
i went to marrakech,مشيت لمركة
i dont eat salt,ماكاناكلش الملح
have ambition,راه لي عندك طموح
Anything else?,شي حاجة أخرى؟
this is a poor toothpaste,راه مسيان هاد ليا لبرة ديال السنان
I need to buy new clothes,خاصني نشري حوايج جداد
ell me what you feel,قولي ليا أشنو كاتحس
face cleanser,ديكسير الوجه
scammers it was only 250dh by then,راه كان غير 250 درهم
The smoke made him sneeze,ديمو كايجيبو يختّر
i give my mom half my salary,أنا كانديني ل ماما نصي راجلي
he is a little bit better,راه خايب شوية
What is that strange noise and shaking?,اشناهيا هاد الصوت و التززز؟
they left me alone,خليوني بوحدي
i thought that  they will leave him alone,كان كيسحاب ليا غادي يخليوو بوحدو
now he is your kid,دابا راه ولدك
the pieces are shattered,قطعات كايتحط
i'm waiting for you to appreciate what i do,كانتسنّا فيك تقدر داكشي لي كايديرو
there is no problem,ماكاينش مشكل
we couldn't be happy like others peoples,ماكانقدرش نكون فرحانين بحال ناس آخرين
why you dont wanna be absent for two days,علاش مابغيتيش ت غيب ليك نهارين
I'm not upset,ماعنديش
leave everything at you,خلي ليكو كلشي
I'm waiting for you to lean on the bed,كانتسنّا فيك ت ت تلق على فراسي
i dont think postpone driving license exam,مانضنش غادي نتأجل امتحان ديال ليت
the road is closed,طريق سدّ
if only i passed this interview,كون غير قدرت ن تلقى هاد لوعد
you work Saturday morning,نتا خدمتي صباح السبت
and why are they acting this way,و علاش كايديرو بحال هادا
i will fix the conclusion,أنا غادي نقدر نخرج ليك
"They play the accordion, the banjo, the drum and the recorder!","كايعزفون على أكورديون, البانجو, البروب و سجلّات!"
I want a blanket,بغيت بطانية
is there someone here,واش كاين شي حد هنا
he grabbed my hand,شدي ليا ليد
we have a good keeper,عندنا حارس مزيان
But we should probably be heading back soon.,ولكن خدامو نرجعو قريب
You don't want to be sportive,مابغيتيش تكون رياضية
That sounds like a curious story to me.,هادشي كايبان ليا قصة غريبة.
are you into diy projects?,واش كايعجبك المشروعات ديالي؟
I do play the piano,كانلعب البيانو
you need to walk a bit,خاصك تمشي شوية
"Ah yes, that is a lot of people",آه، هادشي بزّاف ديال ناسّ
my neighbor sleep at night,جارتي كاتعسّ فليل
I dont think the shirt will wear down,مانضنش غادي يستنحش ليك
They can't live without her.,ماعندهمش البقاء بلا
beware of scammer,حرا من المهدر
she is good he is bad,راه مزيان و هو خايب
i have never workd in a house,ماعمرني خدم فدار
i heard it somewhere,سمعتها فشي بلاصة
Cover you head with a scarf,غطّي راسك ب شي شال
we had adventure time,كان عندنا وقت ديال المغامرات
is there a lift?,كاين شي مصعد؟
without bringing this type of cheese,بلا ما تجيب هاد لفرش
I come back from travel,رجعت من سفر
it costed me 30 dhs,كلفني 30 درهم
we will take turn later on,غادي ندورو فما بعد
explain to me how to water,شرح ليا كيفاش نستمر ف الما
even if he wakes me up a lot,حتى إيلا كايفيقني بزاف
it's important we care for childhood,مهمّ أنّنا نعتقلّو على دكّر عمر
why is this hypocrite laugh,علاش هاد الضحك ديال الخصاب
why are you mad this morning,مالك ف صباح
i will pay you for you job,أنا غادي نخلصك على خدمتك
how did you find my house,كيفاش لقيتي دار
i want to buy two birds,بغيت نشري جوج طيور
where is the shop,فين كاين المحل
 i thought that i broken the sink,كان كيسحاب ليا غادي نكسّر ليك ديبون
The elevator's down again.,المصعد هبط من جديد
life was darkening,الحياة كانت كايكون مظلمة
I'm waiting for you to go with your boy to pray,كانتسنّا فيك ت مشي مع ولدك تڭول
how are you my dear friend,كيداك لي صاحبي
Is it possible to repeat?,واش ممكن نعاود؟
first time an arabic coutnry reached the final,أول مرة واحد ديال العرب لي وصل ل فينال
i forsake eveyrthing,أنا كانتخلّا من شي حاجة
I wish you good,كنتمنحك مزيان
do you want some coffee?,بغيتي شوية ديال القهوة؟
is it good,واش مزيان
advise the girl,نصيح ليها
let this sport to specialist,خلي هاد سبورت لخصاب
How about the beach?,و كيفاش البحر؟
he only wanders,راه غير كايدور
i will go mad,أنا غادي نڭول
I'm not friends with Jeannine anymore,مابقيتش أنا صاحبة مع جانيين
Do you have a Bible?,واش عندك شي بيبل؟
i put my daughter in the highiest regareds,أنا سدبت بنتي فبرز
go feed the bird,سير عطي الطيور
Let's write a story,يالاه نشرحو قصة
this is the last edition of the book,هادي آخر طبعة ديال الكتاب
i'm just plaining ,غير أنا كانضرب
I'm in a lot of pain,أنا فالمات بزاف
Stop here please,بقا هنا عفاك
she learnt,علمت
I'm thinking when I will receive my prize.,تانفكّر إمتا غادي نستلم شيّاف ديال لفرصة ديالي.
good bye,على خير
she told me and i rememberd,قالات ليا و أنا كنت عارف
we were outside,كنا خارجين
is it thon,واش هادي
I have school tomorrow,غدا عندي المدرسة
how many box do you have,شحال ديال القراصة عندك
"If you were a meticulous, we would have been eating your handmade rfisa. ",كون كنتي ديقة، غادي نڭلسو رافيزا ديالك لي كاتديها ليدك
tell me how much,قوليا شحال
yes surely ,آه بلي
ig you see you say good,أنا كاتشوفك كاتقول مزيان
because I bought another one,حيت شريت واحد آخر
I like it when there's sugar round the rim. Can you do that?,كيعجبني ملي كاين شي سكر على الحافة. واش تقدر دير هادشي?
you like this place,واش كتعجبك هاد البلاصة
are you saying it now,واش نتا كاتڭولها دابا
you are too late to grow up teeth,تعطلي بزّاف باش تخرج سنان
i'm filling some forms,كانملّف شي شي فوروم
Would distraction help?,واش غايخدم الشتات؟
Have you tried to cheat in this exam,عمرك جربتي تخون ف هاد لامتحان
Why don't you want to buy phone,علاش مابغيتيش تشري تيليفون
A house is full of work,دار ملية بالخدمة
I'll call you on Friday,غادي نتصل ليك نهار جمعة
you still have a long road ahead,باقي طريق طويل عندك
I think we're all stressed and at the same time all admire her.,كانضنش كينا كاملين و في الوقت نفس كينا كجميع كايحترمو عليها.
I'm not the only one,أنا ماشي أنا بوحدي
keep this,خلي ليا هادشي
they left us home,خليونا فدار
i told her i wil lchange desk,قلت ليها غادي نبدل ليك طابلة
Have you tried get fired from work,عمرك جربتي تخرج من الخدمة
when will restriction canceled,إمتا غادي تخلّف الحبس
go heal yourself first before you travel,سير عالج راسك أولا قبل ما تمشي
say the trust,قولي ثقة
It's raining,كاتمطر
whats this mess,أش هاد الفوضى
we played well but it is what it is,لعينا مزيان و لكن هادا هو
pray for me,صلي عليا
democraty now everyone has rules,ديموقراطية دابا كولا واحد عندو قوانين
your turn,دورك
you are too late to find where to camp,تعطلي بزّاف باش تلقّي فين تڭاع
i took my dog to walk ,شديت كلبي باش نمشي
let's plan a night where we revisit the place we first met,يالله نعاودو نعاودو نشوفو للوجه لي ولدنا
everyone will look at her,كولشي غادي ينظر ليها
weekly,كلسيمانية
What do you want with it?,شنو بغيتي بيه؟
then the lift broke down between floors,و من بعد كسر المصعد بين الطواب
"i really appreciate you asking me, bu t i can't do it",أنا كايقدر بزّاف ليك تسولني، ولكن مانقدرش ندير هادشي
you been punished for your sins,حطمتي على خطايبك
Fry me some potatoes,طيب ليا شوية ديال البطاطا
your mind is elsewhwere,عقلك غير ليا
i saw the robber and he ran,شفت ليا شيب و هرب
I do play the piano,كانلعب البيانو
diodnt like anything,ماكايعجبني والو
did he go the the unviversity,واش مشا لجامعة
or mixed gold,ولا زرين مخلوط
he is not patient,ماكايصبرش
if you didnt warm up you will get an injury,إيلا ماعمركش تبرزك غادي تلقّي شي جرح
the kitchen is nice,الكوزينة زوينة
Or how is that perceived now?,ولا كيفاش كايديرو هادشي دابا؟
only you didnt come,غير نتا ماجيتي
i seached everywhere,كانقلب فكل مكان
You don't want to appreciate what I do,مابغيتيش تقدرش دكشي لي كاندير
There is nothing to be afraid of,ماكايناش شي حاجة تخاف منها
i need to buy sand,خاصني نشري رمل
speak in darija,درجي ف درجة
he thinks me stupid,كايحسبني غبي
bring me one,جيب ليا واحد
this behaviour isnt accepted,راه ماعنديش قبيل هاد السلوك
my hair is turning white,شعري كايبيّض
they know me well,راه عارفينني بزاف
he lost hope,راه خايفاش الأمل
how many died in the earthquake,شحال ماتو ف الزلزلة
we jumped over the wall,قلاينا على الحائط
wanna go to shop,بغيت نمشي نتسوق
bad problem,مشكل خايب
i saw hair,شفت شعري
what do you do,شنو كادير؟
he don't have consicense,ماعندو الحسّ
i get fooled easily,أنا كايخدعوني بزاف
price,سعر
I will stay the night here,غانبقى هنا
Do you know them?,واش كتعرفهم؟
you wrong,راك مخطّع
Where does the sun set?,فين كايغروب الشمس؟
Do you like Tennis?,واش كتبغ ليك تينس؟
you won't believe who I met,ماغاديش تصدق شنو لقيت
I bought a new pair of shoes,شريت جوج جديد ديال الحذاب
jump from window,قربي من شرجم
Damn.,خايب.
I'm waiting for you to be intellectual,كانتسنّا فيك ت ت تخلّد ليا
if only I could join an association,كون غير قدرت ن نلتحق فشي جمعية
you are too late to clean sink,تعطلي بزّاف باش تخلّي لسانك
there is tax of residency,كاين واحد لقاص ديال البلاد
it's like that ,راه بحال هادشي
sudden,فجأة
if only i followed you,كون غير قدرت نتابعك
he is just kidding with you,راه غير كايهزّك
And how long have you been in charge?,و شحال من الوقت كنتي مسؤولة؟
go to another city,سير ل شدة أخرى
Do you really want to waste the entire holiday here?,واش بلي بغيتي تخرس العطلة كاملة هنا؟
"We could try to find a pond, but I bet we'd get eaten alive by mosquitos.",نقدرو نجربو نجديو شي بيك، ولكن أنا كانديركون غادي يكلينا لحيوين من قبل البعوض.
tv is see abuse,تلويزيون كايبانو ليك الملاح
this food is bad for you,هاد الماكلة ماشي مزيانة
Why don't you want to speak to me,علاش مابغيتيش تحدّد معايا
this oranges is tasty,هاد ليمونات زوين
he has internship report,عندو تقرير ديال التمارين
how much is this book,شحال كايكلّف هاد الكتاب
you do nothing,نتا ماكادير شي حاجة
god is helping you,الله يعاونك
i thought that he will volunteer,كان كيسحاب ليا غادي يتبرع
what did you take ?,شنو خديتي؟
Aren't any of your colleagues going to join you?,واش ماغاديش يشارك ليك شي واحد من زملاءك؟
and the little table,و الطابلة الصغيرة
You can always change your mind!,ديما إمكانك تبدل راسك!
they have a party,عندهم حفلة
this short is too big,هاد القصيرة كبيرة بزاف
"Yes, I'm just passing through this town for a work meeting.","آه, أنا غير كانمر ف هاد المدينة باش نخرج ل اجتماع ديال الخدمة."
you are too late to light off the candes,تعطلي بزّاف باش تشتد ل شموع
and some toiletries she likes too,و شي لوازمة ديال التوايتري كيعجبها
she looked at me 5 minutes,كانت تحدق فيمنوت
hard times,وقيتا صعيبة
i bought from them,شريت من عندهم
I've got some chocolate biscuits left too,باقي ليا شي بسكويت ديال شكلتا
 I'm french,أنا فرنسي
dont rush in marriage go steady,ماعمرش في الزواج سير هادك
forgive me I did stopped you,سمح ليا راني وقفتك
everyone write in the language who is comfortable with,كولشي كايكتب بلغة لي كايتيق بيها
i came from my house,جيت من دار
i felt resting,حسبت راسي راكيت راحة
let me stau at the kitchen,خليني نجلس ف الكوزينة
i will be good with you,أنا غادي نقدر نستقاوب معاك
i didn't get enough of you,ماعنديش منك
i feel tired,كانحسّي بالعيان
he husband has enormous ears,راجلو عندو أذنين كبار
its a shame,راه عار
I dare you to take me a picture,نتحداك ت تخرج ليا شي صورة
i will not come,مابقيتش باغي نجي
i figured it out,راه فهمت
"No, not at all.",لا، لا.
if only I could cheat,كون غير قدرت ن خدّس
this field is good,هاد الحقل مزيان
we just passed barchid,غير دارنا من البرتشيد
you came half an hour,آجيتي نص ساعة
Yeah sure.,آه طبعا.
god blesss you moulay sultan,الله يباركوك مولاي سلطان
its delicious,كايكون ليك مزيان
think about it ,فكري فيه
today you can show me how to do nothing but sit by the pool the whole day,اليوم تقدر ت دريني كيفاش ندير والو غير غير نجلس عند البيسين نهار كامل
dont think too much,ماتفكرش بزاف
Why dont you want to improve your workщ,علاش مابغيتيش تحسّن الخدمة ديالك
you don't want to go right ?,مابغيتيش تمشي ليا؟
i went to agadir,مشيت لعدير
my skin is burned,جلدي حرق
you need to study,خاصك تقرا
I can't go with you,مانقدرش نمشي معاك
i will fix you an orange juice,أنا غادي ندي ليك عصير ديال ليمون
i thought that respect the law,كان كيسحاب ليا غادي يحترم القانون
this is for you,هادشي ليك
my kids study well,ولدي كايقرا مزيان
you should never show your skills,عمرك ت برّي ماكتابع ليك
this job is volontary,راه طوعية هاد الخدمة
Don't give me false hope,بلا ماتعطيني الأمل الباطل
you did bring it on yourself,راك جبتيها راسك
That's the thing,هادشي لي كايدير
the class is closed,راه مسدودو ليكس
Smile so we can take a selfie. ,لبسّا باش نخرجو شي سلفي
too much cold,البرد كايزيد
we come only to do godness,أجيينا غير باش ندير الخير
a while ago,قبل شي وقت
this is not funny,ماشي هادشي مزخرف
i thought that he will charge his phone,كان كيسحاب ليا غادي يڭول تيليفون
Where did it happen?,فين وقع هادشي؟
Go ahead a bit,سير شوية
long ago,من زمن بزاف
if only i convinced you to come,كون غير قدرت ن قنعك تجي
Ok!,واخا!
you are too late to interact with the class,تعطلي بزّاف باش تعاود مع الدروس
you should never think the exam is easy,عمرك ت حسب ليك امتحان سهل
a man is a devil,راجل شيطان
what has told me,أش قال ليا
i'm at the sea,أنا ف البحر
women are perfect,البنات كايكونو كاملين
You are a junior sous chef and you had better remember it,نتا شاف صغار و من حسن ليك تذكرو
should wear that kind of shorts,خاصك ترتدي داك نوع ديال القصاص
I dare you to close the window,نتحداك ت تسدّ شي شرجم
can i ask you,واش نطلب منك
he lost his passport,خلي ليه الباصور
from where did you find this,منين لقيتي هادشي
i can speak i ndarija and french,أنا كايقدر نتكلم بالاندريجة و الفرنسية
or at least a step in the right direction,ولا على الأقل خطوة في الاتجاه الصحيح
i called my friends to go take lunch together,عيط ل صحابي نتشاو نتغداو معا
with my aunt with him,مع خلتي معاه
"stop here, please",وقف هنا، عفاك
don't be too explicit,بلا ما تبرّح
Come to me tomorrow,أجي عندي غدا
dont study abroad,ماتعلمش ف البلاد
my hand is broken,يدي كسرقة
i will go watch the borida,أنا غادي نمشي نشوف على البوريدا
what did you achieve in your life,أش درتي ف حياتك
Sister when will will you put the second part? ,أختي إمتا غادي تحطّي ليا ليا لشي جزء تاني
I'm off,أنا خارج
you will grow and forget about it,غادي تكبر و تنسا
let's hope it's gonna be fine babe,يالله غادي يكون مزيان عزيزي
enjoy company of better people,تفضل ف شرطة ناس مزيانين
i will touch this dog and see if he bites,غادي نلمس هاد الكلب ونشوف واش كايعمر
 you are too late to listen,تعطلي بزّاف باش تسمع
the motobike is available,موتو متواجد
the news were important,خبر مهمة
stop thins,وقف هادشي
I didn't ask him for details,ماطلبتش عليه تفاصيل
send me money for my phone subscription,سيريني فلوس على سبونسيبني
i lkie open space,كانشوفو مساحة مفتوحة
i never saw phones without garanty,ماعمرني نشوف تيليفون بلا لورانيط
once i broke over the window,مرة خرقت من شرجم
i just go,أنا غير غاد
Don't eat bread,بلا ماتاكل الخبز
do you like camping?,كاتعجبك الخيم؟
she doesnt think straight,ماكاتفكرش بصحة
i go with bike,كانمشي بالبيكل
this market is weekly,هاد سوق كايجيو كل شهر
I didn't want to die here!,مابغيتش نموت هنا!
i will gather clothes with you,أنا غادي نجمع معاك حوايج
i thought that  he will expose me,كان كيسحاب ليا غادي يكتشفني
you will find at uncle,غادي تلقاه عند العم
The news come as a complete shock,خبرات لي جايت كايكون شكوم كامل
where are you going,فين غادي
i brought it because of sun,جبتها ليا من شمش
"The other managers of his level, we don't know much about them",المدير الآخرين ديال مستواه، ماعرفوش بزاف عليهوم
too many scammers,بزاف ديال الدراري
eat sis,كولو ختي
he passed 20 years in prison,راه سدّ 20 عام فالحبس
the concierge is nice guy,راه زوين هاد القاضي
no one can move this box,ماكاين شي واحد لي كايحرك هاد الكوتة
you should never sneak ,عمرك ت تخلّف
Trump being an idiot.,ترامب كايكون أحمقا.
you house is close to us,دارك قريبة منّا
Barcelona is playing. ,بارسلونا كاتلعب
he is too old will die soon,راه كري كبير بزاف غادي يموت قريب
it been  a while since I did this,راه مدة هادي
come after me,جي بعدي
the tactics was good,كانت تاكتيكا مزيانة
how are you,كيداورك
there is little time left until each one go his way,باقي شوية ديال الوقت حتى يخرج كل واحد ل طريق
I did not find her,مالقيتش عليها
A mister came to engage me.,جايا شي صاحب يشتري معايا
He went to a charity event,مشا ل شي حفلة خيرية
"Well, imagine when space travel becomes commercialised",إوا تخيليي إمتا تبيع سفر الفضاء
the book is under the table,الكتاب تحت الطابلة
my brain is small,عقلي صغير
pancakes should be well made,البنكي خاص تكون مزيانة
That is a good idea,هاداك فكرة زوينة
i only deal with dollars,أنا كانعامل غير بالدولار
you did travel with him ?,واش سفرتي معاه؟
i will come from the phone,أنا غادي نجي من تيليفون
your hair looks good,شعرك كايبان مزيان
this shoe is too big,هاد الحذاء كبير بزّاف
"And since he's got a pond and some ducks, I come here a lot","و من بعد ما عندو حوايج و شوية ديال البط, أنا كانجي هنا بزاف"
there is a lot of strangers here,كاينين بزاف ديال الغرباء هنا
