Original English,Translated AR
everything husrt with heat,كُلّ كُلّ شيء يُقشرُ بالحرارةِ
he is sure you robbed,كانا متأكدين من سرقتك
you got me to threw up,نلت مني واش تتقيا
Why don't you want to pray,علاش مابغيتيش تدّعي
stop,توقّف
they make it spicy,راه هادشي هادشي هادشي
All I said was that it's going to be busy tonight,جلّ ماقلته هو أنّها ستنشغل اللّيلة
mix 20 minutes,غادي ليا 20 دقيقة
no,لا
Here's the menu,ها هي القائمة
Isn't his job halal ?,ماشي شغله هادل؟
she ate three frogs and two snails,كانت تاكل ثلاثة الضفادع و اثنين من الحلزونات
I'm excited about my party,أنا متحمسة بزافتي
I want cool water,مابغيت ماء بارد
you like to bully her,مابغيتك تهدر عليها
drink you coffee,احتسي ليك قهوة
i will tell you,أنا غادي أقول ليك
i cant come today,مانستطيعش ناتي اليوم
education is important,هادشي فهاد التربية
I fry potatoes,أنا شوي بطاطس
this just gets worse and worse,هادشي هاد هادشي ساء واشد
"Okay, but I'd like to rest for a few more minutes.",حسنا، ولكن أود أن نرتاح لبضع دقائق أخرى.
he forsake money,راه فلوس ديال
dont curse,واش مالّا نلعنّو
what did you say?,ماذا قلت ليك؟
they're strangers,هم غرباء
you are right,واش بصحتك
are you sick,واش تمرضي
you live by yourself,عايشتي على طبيعتك
What did you get?,ماحصلت عليه؟
i didn't go,ماكنتش غاديش
be careful,راه
he is coming straight to you,هادشي ليك
I'm waiting for you to avenge,كانتسنّا ليك تنتقم ليا
I dare you to be bad with him,تحدّاك تكون شرا معه
Have you tried to forsake yourlife,واش جربتي باش تتخلّص من حياتك
Let me go.,خليني نمشي.
I would start by doing my make up,أنا غادي نبدا باش ندير ليا ديال ديال ديالي
are you okay,واش بخير؟
I dare you to do this calculaton,نجرؤك تاخد هاد الكالكولاتون
Have you tried to resign in a contest,عمرك جربتي تستقيلي في مسابقة
pregnancy pain is hard,واش هادشي بزّاف
did you rest or not ,راحت ام لا
my husband loves me,زوجي يحبني
I think if i could mop the floor,مانفكّر غادي نمسح الأرض
see what i told you,شاهدي ماقلته لك
what will you do this year,واش غادي نديرك هاد العام
It will be tomorrow,غادي غادي
I think if i this will not end yet,مانفكّر غادي غادي هادشي ماننتهي بعد
i didnt show it all,أنا مانضف شوية كلّها
we are simple people,كنّا ناس بزّاف
today i'm too tired,اليوم أنا تعبة جدا
yesterday insects attacked farmers,أمس حشرة تهدم الفلاح
Stop talking,توقّف عن الكلام
"Recently, I saw something similar to this situation.",مؤخرا، رأيت شي مشابه لهذه الحالة.
"We study every day, today is Saturday and we have a school.",ندرس كل يوم، اليوم هو سبت و عندنا مدرسة
go cover yourself,سيري بزّاف
I have to go,غادي نمشي
dont forget your RDV,ماننسى را ديال خاص بك
I could watch you make a fire!,كان بإمكاني أن أشاهدك تشعل نارا!
this is too suggary,هاد بزّاف بزّاف
let me taste the sauce,خليني اتذوق الصلصة
is the adress valid,راه ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
I dare you to stay in this house,تحداك باش تبقى في هاد البيت
cup one milk salt,واش ليك واحد ليك ليك ليك ليه ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديالك ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
"You remember the recipe, don't you?",تتذكّر الوصفة، أليس كذلك؟
first women has value ,أول امرأة لها قيمة
i thought that invent something new,كان كيدير شي شي شي جديد
For example,على سبيل المثال
why don't you want to jinx yourself,علاش مابغيتيش نحسّي نفسك
how are you today,كيف حالك اليوم؟
if only I could face him off,كون غير قدرت نوجهه
the work is finished here,هادشي هادشي
Why don't you want to assemble a good team,علاش مابغيتيش تجمّع فريق جيّد
"Ah, too bad.",آه، سيئ جدا.
sick people,مرضا
i had many experiences,كان عندي الكثير من التجارب
He picked up some shells,راه ليا ديال بعض الرصاصات
no i don't know him,واش ماعرفتي عليه
the bed is broken,واش خايف بزّاف بزّاف
tree times a day after each meal,شجرة مرّات نهار واحد بعد كلّ وجبة
I know someone who didn't like dolphins because they don't have a mustache,أنا أعرف شخص ما ماكانش ماكان ليحب الدلافين لانهم ماعندهم شارب
i will facilitate your job,أنا غادي ندير عليك شغلك
A real nightmare,كابوس حقيقي
we should reach our objectives,غادي نوصل هادشينا
are you into art ?,هاداك بزّاف؟
ok you don't wanna talk,واش مابغيتيش تتكلّم
market has fire yestreday,بزّات بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
i thought that he will hate me,كان ليا غادي يكرهني
if something show up call me,لو كان شي شي شي شي شي شي نناديني
i dont know what did I eat ,مانعلمش غادي غادي تاكل
i lost 2 days vacation,خسّرت نهارين من العطلة
i took her to the clinic,خايتها للعيادة
Im gonna begin a project,غادي نبدا مشروع
no one can change,مامن أحد يستطيع أن يغيّر
the problem from that time,المشكلة من هاد الوقت
he slept and i stayed,غادي غادي غادي نبقا
More mint leaves,واش ديال واش ديال ديال النكة
He is handsome,هادشي راه
"No, sorry.",لا، آسف.
I'm waiting for you to ask me ,كانتسنّا بزّاف باش تسالني
gimme a new strategy,راه ديال استراتيجية جديدة
we can be patient,يُمْكِنُ أَنْ نَكُونَ صبورين
if only i remebered a lot,كون غير قدرت بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
i want to go to field,مابغيتيش نمشي بزّاف
until we speaks ,حتّى نتكلّم
honestly life is hard,بزّاف الحياة بزّاف
It's a bit scary,هادشي بزّاف
the company likes it,الشركة تحبها
i felt resting,واتا غادي نرتاح
Don't help him,واش مايساعده
you saw the money and you did forget about everything,رايتي المال ونسيتي كل شي
i thought that they will fund him,كان كانظنّ أنّهم سيموّلونه
Think about a program.,فكّر في برنامج
good lets go to restaurant,راه نمشي للمطعم
we paid everyone,دفعنا لكل واحد
this color is gold,هاد اللون ذهبي
I will add,أنا غادي نضيف
you should never bother me or i call police,مابغيتيش تضايقيني واش ندير الشرطة
postpone your job for tomorrow,أجّل شغلك لغد
it will pass easily,سيرو بسلاسة
i will make it now,غادي نديرها
the chair is broken,الكرسى مكسور
turn of the gaz,ديال ديال الجاز
i will not joke with you,غادي ماتش نضحك معاك
to bhe honest i want to get good grade,هاد هاد هاد الصدق نا نا نا غادي ناخد درجة راه
I can't take time off and I like being happy,مابوسعي مانستطيع غادي نقطع واحب الفرح
don't think too much ,واش مافكّر بزاف
if you listened to my opinion,واش غاديت لرأيي
do you have teaching staff,واش عندك معلمين
today is his sentence,اليوم هو حكمة
why do you want it,علاش تبغيها
i heard some noise ,سمعت بعض الضجيج
Why don't you want to work at the aeroport,علاش مابغيتيش تعملي في ديال ديال ديال
tell me when you got out,قل ليك تا ماخرجت
Where are you traveling?,فين تسافر؟
he has a family,عنده عائلة
You don't want to punish me,مابغيتيش تعاقبني
add me to them,زد ليا عندهم
when i remember i will come to visit,عندما أتذكر أنّي غادي أزورك
the salary isn't complete,راه ماشي مكتمل
if only i was forgiveful,كون غير قدرت غادي غادي غادي
i can't believe how much technology has changed since we were kids,مانستطيع أن نصدق ماقدرت التقنية قد تغيرت منذ كنا أطفال
once a day,راه نهار
"It's a bit embarrassing, but I've never been any good at my times tables...",كان محرجا قليلا، ولكن لم يسبق لي أن كان أي خير في طاولات أوقاتي
with,هادشي
i could call you,أنا يُمْكّنُ أَنْ أَدْعوك
Then it's not fated for you.,ثمّ هو ما قدرت لك.
"birth of a child, marriage, whatever",ولد ولد، زواج، أيا كان
Why don't we scream?,علاش مابغينا نصرخ؟
I was going to the library,كنت متوجهاً إلى المكتبة
What is your phone number?,ما هو رقم هاتفك؟
if only I could wake up early,كون غير قدرت نستيقظ بزّاف
This lift is often breaking,هاد الرافعة تهدم في كثير من الأحيان
how many months,بزّاف بزّاف بزّاف
Obesity in France is not such a problem as it is in England,علم في فرنسا ماشي مشكلة كما في انجلترا
"Shaken, I guess",راه، أَحْزرُ
we will go to  hospital,غادي نمشي في المستشفى
he will explain to me,هو سَيُوضّحُ ليا
its apparent,راه بزّاف
he always smiles to others,هو دائما يبتسم للآخرين
come dien with us,واش غادي معانا
He puffed up the balloon,نفخ ليا ليا ليا بالونة
That sounds like a curious story to me.,تبدو كقصّة فضوليّة بالنسبة لي
come they are here,هادشي هادؤو هنا
tomorrow is eid,غادي ديال
I will see you later and you can tell me what you've found,أنا سَنَراك لاحقاً و أنت يُمْكِنُ أَنْ تُخبرَني ما وَجدتَ
are you deaf,واش تاخدش
i will drawn you in the ocean,أنا غادي نرسمك في المحيط
we know their worth,واعرفو معاهم
and he stood us up,و هو وقف علينا
Would you ask him to come here?,واش تطلبي منه أن يأتي هنا؟
he has good prices,عنده اسعار جيّدة
I don't eat rice,ماكلت الرز
"I'm rubbish at maths, rubbish at science.",أنا قمامة في الرياضيات، قمامة في العلوم.
I don't know what you mean,مانعرفش ماتعنيه
this my sister and I know her,هادي اختي واعرفها
who ?,واش؟
dont eat street food,واش تاكل فوم ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال و ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال و ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
i thought that he will focus on his education,ظنت أنه سيركّز على تعليمه
I am in a soup,أنا غادي في حساية
i asked a guy like me,سالت رجل مثلي
do you need something else,واش مابغيتيش شي شي غيرك
they respect people,راه يحترمو الناس
it's him who starts,هاد من يبدأ
Have you tried to close off the window,عمرك جربتي تا غادي تا ناغي نادرا
i talk to her i feel bored,أنا نتكلّم معها نحسّ بزّاف
call me,نادني
I do like a good cake,أنا ديال ديال بزّاف ديال بزّاف
she desires any person,هادشيش ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
departure for two peple,تاركينا بزّافتين
transalte this word,راهات هاد الكلمة
i did not understand what you mean,مافهمت ماقصدتيه
everythinf changed,هادشي غيرت كُلّ إينفكة
I was kidding!,كنت نمزح!
throw it away,رمى ليا بزّاف
a cop arrested me when i accelerated,شرطيا قبض عليّ عندما تاسرّعت
The medicinal herbs will allow you to heal and get back on your feet!,الأعشاب الطبية ستسمح لك بالشفاء وتعود على قدمك
don't flex on us,مابغيش لينا
i brought it because of sun,أنا غاديها بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف باش بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
go to a doctor,توجهي لطبيب
I'm thinking if he will anticipate,غادي نفكّر إن كان يتوقع
dont come and go,مابغيش نمشي و نمشي
you are talking to much,واش تاكلّم بزّاف بزّاف
I'am looking for job,أنا غادي نبحّو بزّاف
you find,واش تجد ليا
you need to study,حاجتي عليك أن تدرسي
why you dont wanna get your clothes,علاش مابغيتيش تاخد ليك ديالك
I'm looking for my socks,أنا نبحّر لجواري.
i appreciate you,أنا نقدرك
i took out the trash,أنا غاديت القمامة
Are you in math class?,هل أنت في صف الرياضيات؟
Before you choose between money and marriage.,قبل أن تختار بين المال و الزواج
The duck jam with the cranberry jam.,باش البطة مع بزّاف توت التوت.
dont speak like this,ماتش نتكلّم هادشي
if only I could send him money,كون غير قدرت نرسل ليه مال
Why don't you want to invite me for a beach party,علاش مابغيتيش تدعوني لحفلة شوية
Let's cancel the wedding,خلينا نلغي العرس
the customer examined the item with a critical eye,واش كاندير فهاد باش باش عين ناقدة
I dare you to swim to the bottom of sea,تحداك تسبح لقاع البحر
valuable,هادشي
he have trouble at work,كان عنده مشكلة في العمل
okey go,واش غادي نمشي
I don't want to tire,مابغيش ندير
Have you tried build a house like this,عمرك جربتي شيّد بيت هاد هاد البيت
Shall I bring those lovely balloons with me?,واش نجلب ليا ديال ديال ديال البول معاي؟
forget about everything,نسى كل شي
Work is stressful,راه عمل مجهد
honestly its bad to get cheated on,بزّاف بزّاف باش يخون على
Don't take a bank loan,مابقيش ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
this program is educational,هاد البرنامج ديال ديال
where can we have lunch?,أين يمكن أن نتغدّو؟
as you want madam,بزّاف بزّاف ديال ديالك
come to pass the weekend with us,واش نمشي معانا بعطلة نهاية الاسبوع
He cleaned his room,غسّل غرفته
with him,معاه
she says whatever,هاداها تقول ماشي
she was guest room,كانت غرفة ديال ديال
too much hard and fast work,راه بزّاف بزّاف بزّاف و بزّاف بزّاف بزّاف
leave it between you ,خلّيها بينك و بينك
my daughter gave me this rock,بنتي اعطتني هاد الروك
i bought new light pulp,باش بزّاف جديد
 you are too late to get cold,تاخرت بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
come to me,تات ليا
I took your number so we can talk,غادي تا غادي نا نا نتكلّم
Why don't you want to prefer to study over playing,علاش مابغيتيش تافضلو تادرسي على اللعب
if only I could consultate you,كون غير قدرت نديرك
i'm tired of work,مللت من العمل
i'm waiting for my dad to arrive,كانتسنّا بزّاف ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
take the money,خذ المال
but i found studying there hard,لكنّي وجدت ندرس هناك بزّاف
I dont think  i will drive this car again,مانضنشش غادي ندير هاد السيارة ثانية
There are always some crumbs at the bottom of the bag,واش باش باش باش بزّاف ديال هاد الكيس
and pain too,راه واش راه
but it didnt,و لكنّه ماشي
i don't eat eggplant,أنا ماكنت أأكل بزّاف بزّاف
"excuse me, is julien here?",إعذريني، هَلْ جوليان هنا؟
by the way,بزاف بزّاف
eat a croissant,كلو كروسان
i argue with the boss and  i gave him my demission,أنا خايج مع الرئيس و أنا أعطيته ديال ليا
lets go to the bath,راه غادي نمشي للحمام
they should work and not waste time,غادي يعملو ولا يضيعو الوقت
its good they didint let you go,راه واش راه دابا تاخلك
i miss the days when summer break meant endless fun,أنا تا غادي ديال ليا ديال ديال ديال بزّاف فهاد الفرحة
Their wedding is traditional.,فزافهم تقليدي.
I don't have her money,ماعندش ماعندي فلوسها
i need to buy somethings,أنا بحاجة لشراء شي شي شي شي
listen off dont run off,غادي غادي غادي
not to live next to a retarded and pimply-faced geek who thinks only of his video games and its Manga,كي لا نسكن بزّاف متخلّف و مهبليّ الوجه الذي يفكّر فحسّن في ألعاب الفيديو و مانغا
you are not accustomed to this,مابغيتيش تاخد هادشي
this is a religious day,هاد اليوم ديال ديانة
i will go to pharmacie,أنا غادي نمشي فشاري
go work with you cousins,غادي نديرو معاك بزّاف
The sink is dirty,المغسلة وسخة
not many people will arrive,ماشي ناس غادي يصلو
who will bully you,واش غادي ندير عليك
take care of yourself,إعتني بنفسك
he drives fast,هادشي بزّاف بزّاف
I feel relieved without her,غادي ارتاحي من غيرها
I dont think   he will give him a good name,مانضنشش غادي يعطيه اسما جيّد
Let me surrender,خليني نستسلم
my son is polite,ابني مهذب
i did all this,أنا عاينت هادشي
you did not even let us rest,واش ماتركتينا نرتاح
you should never understand him,مابغيتيش تفهميه
you deny godness,تُخلّدُ الله
he give up,راه راه
this plage is not clean,بلايج هادشي غير نظيف
he wants me,كانيريدني
i will fry fish,أنا غادي نحرق ليك
i didnt do it ,مابقيش نديرها
they thief has ran away,راه راه ليا هاد
Let me explain.,خليني اشرح.
she is hard ,هاداها صاخبة
he is too tricky,راه صعب جدا
I dare you to say the news,تحداك تناقول الأخبار
he is already nervous,راه واش ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
"If he's the one they sent to repair it, it might be something simple",لو كان هو من ارسلوه ليصلحوه فلربما يكون شي بسيط
I add a litte bit,واش نجمع ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديالي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
go to the bath,واش غادي تسبح
you are slow witted,راه بزّاف بزّاف بزّاف
"Sorry I thought we were organizing it, are you happy for it to be another night?",نأسف على كونّي كنّا ننظّمها، هل أنت سعيد لبقائها ليلة أخرى؟
did you take it,واش تاخدتيها
Canada is located in north America,كوندا في شمال أمريكا
change the subject,غيّر الموضوع
I'm waiting for you talk to me ,ماننتظرك تتكلّم ليا
Who knew that lifts breaking down could be a good thing!,من كان يعلم أن هاد الرفعات تعطل يمكن أن يكون شيء جيد!
You don't want to score a goal,مابغيتيش تهدر هادشي
he is compassionate with poor countries,راه راه ديال ديال ديال ديال ديال ديال ديال ديال ديال ديالها ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
let me continue,خليني نكمل
Have you tried dance at your wedding,عمرك جربتي ترقصي بزفافك
she did alot,كانت ديال ديال بزّاف
too much work,واش ليك ديال ديال ديال ديال ديال
Have you tried explain your project,واش جربتو شرحو مشروعك
i feel like a rushed in question,راه راه هادشي باش بزّاف باش باش باش باش باش باش باش
the defender's sliding tackle saved a potential goal,هادشي ديال ديال ديال ديال ديال ديال هدف محتمل
the normal days,ديال ديال ديال ديال ديال
it's my fault,هادي غلطتي
fair enough.,بزّاف بزّاف.
follow me,اتبعني
when did you have your lunch?,متى كان عندك غدائك؟
let the people talk to him,خلي الناس يكلمونه
"Come on, did you coordinate with them?",هيا، هل نسقتي معهم؟
Would you like a punch?,واش تاحبي ليك لبانة؟
you inspire me,هادشي ليا
you should never discriminate between your children,مابغيتيش تميّز بين أطفالك
i think if i took good pictures,مانفكّر غادي نا غادي نا ديال صور جيّدة
she can't work,ديالها مايعملو
are you alone,واش توحدي معاك
I dont think he will delete this shame,مانضنش غادي يحوّل هاد العار
you are too late to not be unsure,تاخرتي بزّاف باش ماكون غير مؤكّد
You can keep it for yourself,واش تحافظي عليها بزّاف
Your suitcase,بزّافك
i will go to the market,أنا غادي نمشي في السوق
stop making troubles,توقّف ديال المشاكل
he can't do this act,مايستطيعش يقدر راه ديال ديال ديال ديال ديال
"Well, there was this one time when we got snowed in",كان هاد المرّة عندما دخلنا بزّاف
as for fans they behaved properly,راه ليا المعجبين راهين ليا ليا راهينة
when we will hang out in the city?,واش نتبقّى في المدينة؟
im with you,معاك
I don't know where to go,مانعرف اين نمشي
i dont wanan broke ,أنا ماكنت غادي خسّر
my doc gave me syrop,طبيبي اعطاني سيرو بزّاف
The crisps in this little bowl come with your drink,هادشي غادي غادي تاتو مع شرابك
she did help me ,واش ساندتني
Have you tried to feed your dog,عمرك جربتي تا غادي كلبك
we are looking for freedom,كنا نبحث عن الحريّة
I tend to snack on things like crisps and biscuits which I know are not very good for me,أنا ندير على أشياء كبقايا و بسكويت التي أعرفها ليست جيّدة جدا ليا
Will the bride do the Amaria?,واش العريس ديال الاماريا؟
i dont think he did an operation,مانضنش غادي يدير عملية
is he out of emergencies,راه في حالات الطوارئ
what will i do with people,واش غادي ندير مع ناس
I help you because I like you,أنا غادي تا غاديك ليا تا غادي تا غادي
too many people died,مات ناس بزّاف بزّاف
we found you sleeping,وايننا واشناك
i'm waiting for you tie of your shoes,كانتسنّا بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
its became dry,راها جفاف
he is probably about to be laid off by head office!,على الأرجح هو على وشك أن يتم تسريحه من مكتب الرئيس!
what you say is irrelevant,ماتقوله غير ذي صلة
hello educational salutation,تحيّيّا تخرّيّة تربويّة
why arent you ashamed,علاش تخجل
they're going to the park,سيرون المتنزه
they're visiting a zoo,راهون بزّاف حديقة
we are a family,كونا عائلة
my neighbor painted his house,راه راه ديال ديال ديال ديالي
one killo of almonds,واحد قتلة ديال ديال ديال ديال ديال
without giving it more value than it deserves,بلا عطاها بزّاف بزّاف بزّاف بزّاف
Even though I think their peas are frozen as well!,على الرغم من أني كنت أعتقد أن البازلاء متجمدة أيضا!
My matches are all wet,المباريات ليا كُلّ رطب.
happy fpr you,راه معاك بزّاف
i will give you a RDV,أنا غادي نعطيك راه ديال
My day has been quiet,نهاري كان هادشي
i'm working from before,أنا أعمل من قبل
Come drink water,هيّا، هيّا، هيّا، هيّا، هيّا، هيّا، هيّا، هيّا، هيّا، هيّا
"I said celery, can't you listen",أنا قلت لية، مانسمعك
What am I going to do in this Mess ?,واش غادي ندير في هاد الفوضوية؟
Let me put the point ,خليني نوضح نقطة
i will not sue you,أنا غادي نا غادي نشوفك
Your face is tough ,وجهك بزّاف
I'm glad you had a good day,أنا سعيد أنك حظيت بيوم جيد
Is this the way to the police station?,هل هاد الطريق لمحطة الشرطة؟
open the window let the air in,فتحة نافذة خلي هواء في.
she wont live with me,مابغيتيش تعيش معي
this is a diaster,هادشي ديال ديال بزّاف بزّاف
talking not on phone,مانتحدثش على الهاتف
you are gossiping people all day ,كنت تثرثر الناس طوال اليوم
she was very tired and frustrated,كانت مجهدة و مُحبطة
how many knife did he stole,كم من سكين سرق؟
What have you done?,ماذا فعلت؟
you been punished for your sins,غادي تعذب بزفافك
gimme an idea,جاه ليه ديال فكرة
you harmed me,واش تاخدني
you dad loves you,أبّاك تحبّك
Sometimes the trumpet,واش بزّاف
We'll have plenty of juice,غادي نتا بزّاف من العصّور
we played yesterday,عزفنا بزّاف
I am not sure what you mean but I think there could be the police at the entrance!!,أنا مانعرف ماتعنيه، و لكنّي أظنّ أنّه كان من الممكن أن تكون الشرطة عند المدخل!
mockery,تهزّو
we talked too mich,كنا نتكلّم بزّاف
i want to ask you,مابغيتيش تسالك
are you a fan of comedy shows?,هل أنت من محبي البرامج الكوميدية؟
What should I do?,واش ندير؟
when do you want to do it,واش تبغيش تاخدشها
you will loose nothing,واش تاخدش شي
you will finish this ,غادي تنهي هادشي
This was contains nothing. ,هادشي هادشي هادشي هادشي
speak well,نطقي بزّاف
the cup is boiling,الكازينة ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديالها ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
what do you think,واش مانفكّر
I always thought there would be more time,كانضنت ليا ديال غادي يكون ليا المزيد من الوقت
i will flee the cops,أنا غادي نفرّ من الشرطة
do you disect info then you talk about it,واش تادير ليك معلومات واش تاكلّم عليها
i read on phone,قرات على التليفون
im counting on you,غادي نعوّل عليك
buy me ballons for my birthday,ابتاع ليا البلونات لعيد ميلادي
ridiculous,سخرية
this is the first time I see them,هادشي أول مرّة أراهم
do you want her to give birth there,مابغيتيش تاخد هاد ليها ديال هادشي
you were nice just a minute ago,كانو طيبين بزّاف بزّاف بزّاف بزّاف بزّاف
he eats slowly,راه ياكل ببطئ
i will not give my money to singers,مانبغيش نعطّي مالي للمغنيين
All right!,هادشي
It's my favorite sport,ديال ديالي ديال ديالي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديالي
be respectful,ديال ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال
are you in the mood now ?,واش بزّاف بزّاف الآن؟
you need to buy meds,حاجة تشرّي ديال ديال
"Why, are you afraid at the time of decolation?",علاش، خشيت في وقت ديال التهك؟
one year and i have bac,عام واحد و عندي بزّاف
there is nothing i just didnt sleep,ماشي ماشيش غادي ناوم
This is out of the work i'm working,هادشي هادشي من العمل أنا أعمل
i gave back the car,أنا غاديت ليا ديال سيارت
But we made it,و لكنّنا صنعناها
it is so expensive out there,راه غالية بزاف
you are too late to cut down eating,غادي تتأخر بزّاف تاكل
i dont sleep like people,أنا ماننام كاش ناس
We had better move fast,كان أحسن لنا نتحرّك بزّاف
Blessings be upon her,تباركو عليها
how,راه
i thought that he brought his dad ciggs,كانضنت بانه جلب ليه ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
I mean it wasn't really my fault...,كانعنيت ماكان غلطتي
I am not going with you,مانذهب معاك
wedding tomorrow,عرس غدا
no one knows,لا أحد يعرف
i have a kid ,عندي ولد
But we really don't have much money these days.,و لكن في الحقيقة مانملك مال كثير هاد الأيام
this is end of the month,هادي نهاية الشهر
people dont mind business,ناس مايمانعو ليا ديال ديال ديال ديال
he got promoted,راه ترقّى
do always what you want,مابغيتي دابا دائما
i wanna talk about my kid,أنا واش نتكلّم عن ولدتي
this one is a new lie,هادشي هادشي جديد
i will write a topic to my brother,غادي نكتب موضوع لاخي
he is bad,هادشي شريّب
why are in rush,علاش علاش بزاف
there's a little forest road right next to it,هناك طريق غابة صغيرة بجانبه
Business is good,هادشي جيد
i'am different then you,أنا غادي غادي تا غادي
"the price was affordable, especially with a discount applied",كان السعر ميسّر، خاصّة مع خصم مطبّق
The rest of us don't know them so well,وبقيّة منّا ماعرفهم جيّد
of course people will notice you're missing,واش ناس غادي يلاحظون بزّافك
she gave her something,واعطاها شي شي
i want paela and ornage juice,مابغيتيش باشلا وعصير ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديالها ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
you will stay over at your aunt,ستبقين في خالتك
or a 5dh,واش 5 درا
i'm considering taking up yoga,مانفكّر فيه ديال ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديالي ديال ديال ديال ديال ديال ديال ديال ديال
if only I could swing in the park,كون غير قدرت ندير في المنتزه
they did win the game,واش فازو بالمباراة
They don't know what's inside,ماعرفونش ماداخل
i am ready for the next step,أنا على استعداد للخطوة التالية
where is the problem fatima,واين هي المشكلة؟
i don't like this tea,ماكرهيت هاد الشاي
I'm thinking if i should hit fast,كانفكّر لو كان عليّ أن نضرب بزّاف
Barbecue or something more sophisticated?,شوية أَو شيء متطور أكثر؟
is it your picture?,هل هي صورتك؟
he's very annoying,راه بزّاف بزّاف
you need a lot,واش بزّاف بزّاف بزّاف بزّاف
Sister are they still showing? I will come now. ,اختي مازالو يرينا هاد هادشي هادشي
Got it?,حاها؟
we should be commited,راه نا نا نا نا نا نا نا ناخد
they race with cars,بزّاف ديال بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
you went to cow farm,ذهبتي لمزرعة بقرة
Why don't you want to buy phone,علاش مابغيتيش تشرّي باش بزّاف
calm down,هادّو هادشي
he did call me yesterday night,راه ناداني ليلة البارحه
everyone is deaf,كُلّ كُلّ كاش صّيّم
she wants to fool me,كانت تبغي أن تخدعني
taxi drivers are sick,راه تاكسي مريض
rough sea,بزاف بزاف بزاف
The kid pissed his pants,علّيت الماكلة بزّال ديالها
i will not wash my dirty hands,مابقيش غادي غادي تايدي
"Yes, it's a fantastic job!",نعم، هو عمل رائع!
they are childish,هادشي هادشي
he lives nearby,راه ديال بزاف
