Original Eng,tgt,src
she wasnt like that,ماكانهاش بحال هاديك,I can't find you
I'm a bit worried.,أنا خدعة شوية.,I'm a little bit.
i paid attention to one person,أنا كنت كنت كانبدو واحد,I was the only one
And what did your boss say?,و شنو قال لكبيرك؟,And Shono said you're old?
you are weolcomed,راك مسكين,Rack is dead
But you always want to stay quietly by the pool whenever we're on holiday,ولكن نتا ديما بغيتي تبقى هادئة عند البيسين كلما كنكون فالعطلة,"But you don't always want to be quiet at the base, just be on vacation."
we take pictures,كنسوّر,I'm sure
i borrowed it,أنا سلفتها,I sold her
with tiktok money,مع فلوس تيك توك,With your money
Have you tried to prefer your Gf over your mother,عمرك جربتي تفضل ليك جف على ماما,Try your hand at getting to know your mom
you will stay in your place,غادي تبقا فبلاصة ديالك,I'll keep your word
Do you still have your math teacher position?,واش مازال عندك منصب أستاد ديال الرياضيات؟,Do you still have a math teacher?
he doesnt get it,ماكايفهمش,My mother understood me
he is planning to leave you,هو كايخطط يخلّاك,He's planning to get rid of you
dont close the topic,ماتسدقش هاد الموضوع,Don't worry about that.
you are too late to save the child,تعطلي بزّاف باش نخلص داك دراري,Give me some time to get your wishes out of my system
we come only to do godness,أنا و ناري نجيو غير باش نقولو,My wife and I started talking
I don't remember,ماكانتذكرش,I didn't remember.
"So, so, but much better than yesterday, thank you","صافي, صافي, ولكن مزيان من البارح, شكران","Clean, clean, but enjoyable from yesterday, thank you"
my turn,دوري,I'm on my way
this place is dirty,هاد البلاصة كايخايب,This is the place where I live
"Yes, it's better to defrost them first.",آه، أحسن أن تفرجهم أولا.,"Ah, it's better to get them first."
they made a bridge,راه درو لبرو,The way to freedom
why the rush,علاش كايجيو,Al-ashak is here
no space left,ماعندوش ليا بلاصة,I'm not looking for a place
what did you see?,أش شفتي؟,Did you see me?
see you,نشوفك,See you later
you go out a lot,كاتخرج بزّاف,I got out of here a lot.
this place is civilized,هاد البلاصة مدنية,This is the place
he prefers to stay alone,كايفضل يبقى بوحدو,I prefer it to be this way
if you follow me i will make you look bad,إيلا تبعيني غادي نجعلك نخت,Or you follow me there we will make you a sister
Don't bring kids,بلا ما تجيب ليك ولادك,Without you waiting for me
you never said two good words,عمرك قلتي جوج كلمة مزيانة,Your age has made me find a nice word
this is a new invention,راه اختراع جديد,New way of inventing
There is no problem,ماكاينش تا واحد المشكل,I never found the only problem
I can't see how... Why don't you join me?,ماكانشوف كيفاش... علاش مابغيتيش تجمع ليا؟,I wonder how... what's left for me?
Because you really wanted to burn your shoes.,حيت بلي بغيتي تحرق حوايجك,Why can't you burn your way?
people like you live on hell,ناس بحاليك كايعيشو فجهنم,People like you live a life of their own
This road is empty,راه خاوية هاد طريق,That's the way.
you are too late to fill in the walls,تعطلي بزّاف باش تملّي ليا الحيطات,Give me a little more than I can make out to you
He brushes his teeth,كايفرش سنان,How many times have I been here?
why this happend to me,علاش وقع ليا هادشي,Why did this happen to me?
i will not paint the house,مابقيتش باغي نڭول داك دار,I'm still going to sing you a song
goodbye,معاك,I'm with you
I dont think he will take us where we want,مانضنش غادي يدينا فين بغاين,I'm sure we'll see you tomorrow.
"thank you, the room is very nice","شكران, الغرف زوين بزاف","Thank you very much, sir"
i will not invocie you mych money,مابقيتش باغي نستدوب ليك فلوسي,Mukbittish Baghi Nustdup Liye Floshi
i came to my house,راه جبت لدار,How did I get to Dar?
I dont think i  can see these  colors,مانضنش غادي نشوف هاد لون,I think I'm going to see this line
we need nothing,ماعندنا حاجة,What do we need?
"But you can't study everything, can you?","ولكن مابغيتيش تدرس كلشي, واش كاندير؟","But you don't have to study everything, washing?"
i will do even more,أنا غادي ندير مزيان,I'm going to enjoy
you wanna eat,واش بغيتي تاكل,Wash your hands without a sling
go hide your clothes,سير سدّ حوايجك,Sir sadoui is with you
you're good at football,نتا مزيان فالفوتبال,No more football
no one can expect you,تاحد ماعندك توقع,Until you've gotten your hopes
you are shocked,نتا حطمتي,I'm not going to make a decision.
I'm waiting for you to jump from the balcony,كانتسنّا فيك ت قزّع من البالكون,We were just waiting for you to leave the balcony
Shall we play badminton or tennis?,واش نمشيو لعب البادمينتو ولا التينيس؟,Do you want to watch badminton or tennis?
when can we take it,إمتا نقدرو نڭولو,Just cash and make it
low blood pressure,ضغط الدم,Blood pressure
i'm making my clothes,أنا كنجيب الحوايج ديالي,I'm the one who's got the money
you are too late to leave the house,تعطلي بزّاف باش تخلّا من دار,Give me a break from my job
she saw me until she went,شفتني حتى مشات,See me till we die
like this,بحال هادا,Bring it back
let's have a date night where we try cooking a new recipe together,خلينا ندوزو شي ليلة فينا نعاودو نسوبو شي وصفة جديدة,Let's get some new stuff tonight and get some new stuff
write in the notebook,كتب ف الملف,Write in the book
you need to begin from the start,خاصك تبدا من البداية,Your business starts from the beginning
I have nothing to do,ماعنديش دير,I'm not too late
dont throw garbage,ماتقلبش ليك,What's on your plate?
Don't panic,بلا ما تنقلش,Don't worry.
this is the first time I'am working,هادي أول مرة كاندير,This is the first time I've been to this country.
she wants to take everything,بغيت تومشي معاها,I want to see you with her
she was a rogue ,كانت كايسخر,It was like a laugh
Don't take a taxi,بلا ما تاخد تاكسي,Without taking a taxi
go on,سير,Take a trip
I'm not this type of people,أنا ماشي من هاد النوع ديال الناس,I'm one of those people
Last week,سيمانة لي فات,I lost the week
this is scientific,راه علمي هادشي,That's a scientific way
tell me what do you want,قولي أش بغيتي,I said I wanted you
serious one just began,واحد خطير باشو,Only one risky child
How about we have one game and you can come back and sunbath after?,أش بان لينا نمشيو لعبة و تقدر ترجع و تعاود نتغدا؟,I'm going to go play and can you come back and help me out?
he want sleep drug,بغا يخلع دوا ديال النعاس,Tomorrow is a sleeping pill
lets go gome,هيا نمشيو,Come and show up.
Why don't you want to buy from the market,علاش مابغيتيش تشري من السوق,Don't you want to buy at the market?
hard times,وقت صعيب,Time is hard
you are untrusted human,نتا واحد بشري ماشي متأمن,There is no one who can walk in security
go do a conference,سير دير ليك كونفرن,Go for a conference
Good evening!,مساء الخير!,Good evening!
he will never leave you,ماعمرك ماغاديش يفرك عليك,I'm not going to make you a fool
i hit the spot,راني كنت ليم,I was a little boy
I am not happy,ماكانش فرحان,I was not happy
you won't pay me coffe,ماغاديش تخلص ليا القهوة,Magadhish to finish for my coffee
this judge is fair,راه عادلة هاد القاضي,That's the way it is.
Let me bring a dog to house,خليني نجي نجيب لكلب لدار,Let me know if you can find me
Don't close the door ,بلا ما تغلق الباب,Without you open the door
you can't imagine my happiness today,ماكنتش كاتخيال فرحتي اليوم,Couldn't wait to get out of here today
Let me ride with you,خليني نركب معاك,Let me see you
i will put a malla,أنا غادي نستوي شي ملّا,I'm going to get some more
how do you manage to stay so patient with my angry side?,كيفاش كاتبقى صبور مع الجانب ديالي ملي غاضب؟,How do you keep patience with the side of the megali ghadb?
But that's not fair!,ولكن هادشي ماشي عادل!,But this is not adly!
go find new path,سير و لقّي طريق جديدة,Walk and find new ways
I really don't know my cocktails yet,أنا واقع ماعرفتش الكوكتيل ديالي,I am located in the city of Lykottil
social media make it important,وسائل التواصل الاجتماعي كايديرها مهمة,Social media is a big deal
I left the house,خليت دار,Khaleed
When will you make it easy for me?,إمتا غادي ت سهل ليا هادشي؟,Are you going to make it easy for me to find this?
I think if i could get naked,تانفكّر واش نقدر نخلّس,Still wondering if we can get rid of him?
ok thanks card two times,واخا شكرا كارت دو مرة,Wow thank you card two times
don't ever call me ,عمرك تبارك الله عليك,Your age is up to you
i liketo gossip,كيعجبني نطلع,I like to see you
be good to everyone,كونو مولّين مع كلشي,Be kind to everyone
do you have arabic books,عندكو كتب العربية,I have a book on Arabic
"Well, we keep watching TV, even if we know we're spending too much time there",واخا، كنبقى كنشوفو التلفازة، واخا كانعرفو بلي كنقضاو بزّاف ديال الوقت تما,"Wow, we'd have been watching the tv show, wow, we'd have known that I'd be judging too much of the time there."
he brought twice the money,جابت ب دوما فلوس,Answer me with the money
I won't be upset,مابقيتش باغي نتوّر,I'm not going to talk to you
i call them but no one answered,كانڭول ليهم ولكن ماكاينش واحد يجاوب,I could have them but there was no one to answer
didn't you hear what she said,واش ماتسمعيش شنو قالت,Didn't you hear her say?
you went,مشيتي,Mushiety
why you dont wanna stop bullying,علاش مابغيتيش توقف من دكشي لي كايزعز,I won't stop you from telling me what to do
I dare you to to win agains me,نتحداك ت ربح ليا,You've all been profiteering
"Besides, we were too expensive",علاوة على هادا، كانا غالين بزّاف,"Besides that, there were too many winners"
And alcohol in the glasses.,و الكحول في الكؤوس,And the alcohol in the house
i went to hospital,مشيت لسبيتار,I was in the hospital.
if I see you again I'm gonna beat u up,إيلا ورفتك مرة أخرى غادي نضربك,If you come back we will beat you
this where i arrived,هادي ليا جيت,She's still alive.
I'am just sleeping,أنا غير ناعس,I am not a native
Let me cut,خليني نقص,Give me a break
i will predict this match score,أنا غادي نتوقع هاد نتيجة ديال الماتش,I'm going to expect this match outcome
there is an earthquake in morocco,كاين زلزال ف المغرب,There was no earthquake in the Maghreb
That will give you something to rest for.,هادشي غادي يعطيك شي حاجة ترتاح عليها.,This one will give you something to get used to.
walk one step ahead,سير خطوة واحد,The only way to go
i'd love to visit japan someday,ماعجبنيش ن زيارة اليابان شي نهار,I don't have to visit Japan now
I think of helping him,تانفكّر واش نعاونو,Then you'll wash them
why do you care,مالك كايهتم,What do you have?
that stuff has no point,هادشي ماعندني ليه معنى,That doesn 't mean anything to me.
they don't know where it came from,ماعرفتو منين جينا,I don't know you living
at the end there is nothing serious,فالأخير ماكاين شي حاجة خطيرة,There's never been a thing that's dangerous.
i cant sleep in the office,مانقدرش نعس فالمكتب,I can't wait to get in the office
Onions and carrots are essentials.,البصل والجزر ضروريين,The bacon and the grape are essential
What do you want sir?,أش باغي أسيدي؟,I beg your pardon?
you surpassed my expectation,نتا زدت على توقعات ديالي,I never exceeded my expectations
i was alone,كنت بوحدي,I was a boahdi
where did she go yesterday,فين مشات البارح,Finish the last night
I never thought about it,عمرني مافكرت فيها,I've been thinking about it.
isnt what you end up buying,هادشي ماشي لي كاتشري,That's what I'm saying
change this,غيرو هادشي,No more of this
I wanted to take you seriously,بغيت نقدر نعتبرك على محمل,I want to be able to count on you
my mother went to hamam,ماما مشات ل حمام,Mama is not in the bath
whats your name sir,أش سميتك سيدي,I saw you sir
i dont feel good,ماعنديش مزيان,I'm not having fun.
what's a movie that never fails to make you laugh?,شنو فيلم ماكوفيش يضحك عليك؟,Did you hear the movie What's the joke on you?
work harder,خدّم بزّاف,God bless you
Don't drop the bed,بلا ماتخسّر ف السرير,No more bed
i don't have many followers,ماعنديش بزاف ديال الجمهال,I don't know too many people
i forged my parent signature,أنا كلفت توقيت الواليد,I was waiting for the baby.
I think that's why I've always been so attached to you,كانضنّ هادا علاش ديمتا كنتّي مليحّك,There was a reason why I always found you
Students only studied today.,تلمّاو تلمّاو اليوم,Tlemmamo Tlemmamo Today
large-scale,فالمحاس,Falmukhs
in them,فيهم,There are
my  cat ate one of my twi birds,قطتي كليتي واحد من الطيور ديالي,My cat is the only one of this kind
you should never give a precise date,عمرك ت تعطي واحد تاريخ ديق,Your life is your only history
people are looking ,ناس كايقلبو,We're not going to talk about it
You were never good at math,عمرك كنت مزيان في الرياضيات,I was a math teacher in your age
i told you its for your good,قلت ليك هادي لخيرك,I told you this was your choice
if only I could reconciliate between you two,كون غير قدرت ن تندم بينكم,I can't be with you
everything is Trump's fault nowadays,كولشي هاديوم ترامب,Kolchi Hadeum Tharam
he wrote an article about me,كتب عليا مقالا,He wrote some articles
the man works in every environment,راه كايخدم فكل بيئة,How do you work in the weather?
make them jealous,ديرهم على البال,They're late for the party
i came many times,جيت بزّاف ديال مرات,How many times have I been?
me and you,أنا و نتا,Me and your daughter
hello,سلام,Hello
this contry,هاد البلاد,This country
the ysent him to travel a bit,واخا يجي يفرّج شوية,"Well, come and see a little bit."
you are too late to get the good,تعطلي بزّاف باش تقدر تحصل على هاد الخير,Give me a little more to get this good
when is this?,إمتا هادشي؟,Has this ever been?
not too lighted,ماشي مشعل بزّاف,It's not too bad.
she stayed silent and then,ماعمراتش و بعد,What am I living and after
i will bring him,أنا غادي نجيبو,I'm going to get it
can you talk as well,واش تقدر تكلم معايا,Can you talk to me?
"Presentation is important, isn't it?","العرض مهم, ياك؟","The offer is important, huh?"
I don't want you,مابغيتكش,I will not be able to see you
Giraffe can not swim,العربة ماعارفش تعوم,The Arab knows not how to swim
do i know the reason,واش عرفت لسبب,Was I for a reason?
when they saw me,ملي شفتوني,I've got a few nights
"Your friend will probably be here, why?",صاحبو غادي يكون هنا، علاش؟,"Your friend will be here, why?"
you only doing what please you,كاتدير غير لشي كاتسعدك,I'm not sure what I'm saying
he attacked me first,هو هو لي وقع عليا,He is the one who has signed me
i stand i feel dizzy,أنا دايرة كانحس بالدوما,I was always in the mood
I wish you have let me make you something,ماكرهتش تخليني نستعد ليك شي حاجة,Don't ask me to prepare you something
I dare you to explain how to solve this problem,نتحداك ت شرح ليا كيفاش نحل هاد المشكل,We need to explain to you how we can solve this problem
you understand wrongly,فهمتي غلط,I got it wrong
this offer cannot be refused,هاد العرض ماكانمقدورش يرفض,This is a problem I could not deny
the first step,أول خطوة,First letter
what do i bring you with me,أش غادي نجي بيك معايا,I'm going to help you
this price is cheap,هاد التمان رخيصة,This is the time
Am I pronouncing it correctly?,واش نطقها صحيحة؟,Did you say it right?
even if I'm sick,واخا أنا مريض,"Wow, I'm sick."
gold is expensive,الذهب غالّي,Gold is gold
I was saving for hard time,كانحافظ على الوقت الصعيب,I was keeping the good time
By the river it'll be safer,عند نهر غادي يكون آمن,"When the river is clear, it will be safe"
he liked it,عجبو,Surprised
i'm bit,أنا صغير,I am a little boy
A cup of hot milk,كاس ديال لحليب سخون,A cup of love
you think deeply,كاتفكر فاسق,Catthink quickly
i don't have time,ماعنديش الوقت,I'm not going to waste my time
there is a reason why she did this,كاينا سبب لي درت هادشي,Was there any reason why I was having this thing?
trade,التجارة,Trade
thank you sooo much,شكران بزاف,Thank you very much
i went to public shower to relax,مشيت دوش عامي باش نرتاح,I'm going to the village to rest
I dont think  i will wire the money,مانضنش غادي ن سدّ لفلوس,I don't know where I'll be living
inconvenience,إيلا ماكانش,If not I won't
this is your daughter calling,هادي بنتك لي كاتسنّا,This is your daughter and she is my sister
I'm waiting for you to insult me,كانتسنّا فيك ت تحرّمني,We were in your position to challenge me
I'm afraid of darkness,كانخاف من الظلام,He was afraid of the dark
she envies her friends,كايحسد صحابها,How can I see her?
let it in work,خليها تخلع لخدمة,Let her go to work
did you bring it bro,جبتيها خويا,I got her some chick
i have no one here,ماعنديش شي واحد هنا,I don't have anything left here.
I'm thinking if phone will be charged,تانفكّر واش تليفون غادي يتشارجي,Think about washing your phone when it's charging.
i miss childhood,أنا كتفتش ف ولد,I was writing for a boy
People are laughing?? ,ناسّ كايضحكو,I'm not a laughing person.
phone is destorying lives,تليفون كايخرب لحيات,Phone is a life-changer.
I feel overwhelmed by everything happening at the moment,كانحسّ كترّا بلي كاينة هاد لحال,I felt like there was more to it than that
I haven't heard about the plans for the match?!,ماكانسمعش على الخدمات ديال الماتش؟,Didn't you hear about the services of the matches?
i need you ,خاصني فيك,Especially you.
you enjoy good food,كايعجبك الماكلة مزيانة,How do you like the meals?
he doesnt want to confess,مابغيتش يحتاف,You won't be able to keep up
the whole thing is a gimmick,هادشي كامل كايكون كايكون كايخد,That's all I'm going to be
I wanna have breakfast,بغيت نتفاكس,I want to get out of here
judge between us,حكم بيننا,You will see us
"Oh, come on... You know that's not true.",أوه، أجي... راك عارف هادشي ماشي صحي.,"Oh, come... you know this is all right."
i wanna work in casa,بغيت نخدم فدار,I want to serve you
Stop blaming yourself,بلا ما تلوم راسك,Without your money
why dont we agree,ماعندنا ليا ليك,We're not here for you.
i'm trying a new recipe for dinner,كانتجربو وصفة جديدة لعشا,There was a new recipe for it
we are happy to mmet your,فرحان لينا نتعرفو عليك,Farhan let's get to know you
"Okay, I'll get you your drink","واخا, غادي نجي ليك شرابك","Wow, I'll bring you a drink"
you mouth brinf misfortune,فمك كايجيب ليك شي حاجة خايبة,Your mouth is full of things
we meet at the corner of the street,نتلاقاو ف زاوية ديال طريق,We'll find a way out.
you need to make kids,خاصك ت دير ولاد,Especially in the late childhood
There is no need to worry,ماكاينش حاجة ليك تقلق,There was no need for you to worry
She never saw beauty,ماعمر ماشاتش شفت الجمال,My life is not like the past
Are you coming?,واش غادي تجي؟,Are you going to go?
how will you be able to tell me?,كيفاش غادي تقدر تقول ليا؟,How are you going to tell me?
i dont think  exploid the ballon,مانضنش غادي يفرق ليا البالون,I don't think it's going to make a difference to the balloon
i spend a lot,كانكسب بزاف,I was too young
you made my heart,درتي قلبي,In my heart
i wanna pray,بغيت نسلي,I want to see you
they are open today,راه كايكونو مفتوحين اليوم,How are you free today?
she is not worjing,ماشي خدامة,Please
You don't want to swing tin the ice,مابغيتيش ت تدور على هاد الجليد,You won't have to work on this ice
It is eight thirty-five,هادي 835,That's 835
"30 burgers, hold the onions.",30 برغر، حيد البصلة.,"30 burgers, haid al-salata."
we'll end up on people's lives,غادي نتايب على حياة ناس,I will live on people's lives
they ended the modification of the house,كملو التغييرات ديال دار,Complete the changes of the house
dont film,ماشي فلم,It's a movie
deliver it to you,عطيه ليك,Give it to you
if only I could suprise you,كون غير قدرت ن سوّر ليك,I can't help you
what do you want me to do,أش بغيتي ندي,I'm not without you
"Well, I did tell you at the meeting this morning",واخا، ڭلت ليك ف الاجتماع هاد الصباح,"Wow, I went to the meeting this morning."
give me what are useful,عطيني لي مفيد,Give me some help
i will call the cops,غانصل على البوليس,Get the police
talk slowly or i will hit you,درتي بسهولة ولا غادي نضربك,There's no trouble and I won't be going to see you again
You don't want to analyse the test,مابغيتيش تحلل لامتحان,I won't be able to take a test
I just witnessed an accident.,أنا غير شهد على شي حادثة.,I have not witnessed any accident.
if only i avoided problems,كون غير قدرت ن تجنب المشاكل,Being unable to solve problems
did i annoy you,واش أنا خايفتك,I was afraid of you
I will come to you. ,أنا غادي نجي ليك,I'll come for you
what you brought has vanished,هادشي لي جبتي مخيب,That's my problem
always cross the road easily,ديما تعبر طريق بسهولة,Always crossed the easy path
aren't you embarrassed,واش ماشي خايباكش,Wash your hands
heart surgery is dificult,العملية ديال القلب صعيبة,The operation of the heart is difficult
This is not working anymore,هادشي ماخدامش مزيد,That's not too much
go or I will come to beat you,سير ولا أنا غادي نجي نطربك,Sir or I will only ask you
there is tax of residency,كاين ليا ضريبة ديال سكن,Is there a tax on housing?
I had to go to work by train,كان خاصني نمشي للخدمة بالقطار,I was going to the service in the Qatar
Why don't you want to explain what he meant,علاش مابغيتيش تشرح ليا أش كانعني,I hope you can understand me
everything is nice,كولشي زوين,Koolshi Zwin
i agreed with her,أنا وافقت معاها,I'm on it.
I don't want her,مابغيتش,We are not
just morning i couldnt during evening,غير صباح ماكانش قادر باش نخرج مع العش,I was not able to go out with the living
if only i objected,كون غير قدرت ن عاود ليك,I'm not able to wait for you
i thought that he gathered clothes for his parents,كان كيسحاب ليا غادي يجمع الحوايج ديال واليديه,He was like going to collect his parents' money
dont get angry,ماتخافش من هادشي,What do you want from me?
how I can speak to him,كيفاش نقدر ندوّر معاك,How could we deal with you?
it is so expensive,راه غالي بزاف,How are you?
everything will show later,كولشي غادي يظهر من بعد,I'll see you later.
wash of good clothes,غسل حوايج زوين,Wash your hands
eat something,كلي شي حاجة,I need all of my stuff
i have a problem with you,عندي واحد المشكل معاك,I have only one problem with you
I dont think he will make money,مانضنش غادي يخرج لفرقة,I thought you were going out for a party
I was sleeping yesterday,كنت ناعس البارح,I was a good boy
he bought two sheeps,شري دوك لحم,Share some meat
we all gonna die at the end,كولنا غادي يموتو فالأخير,We're not going to die in the end
I'm thinking if connextion is working again,تانفكّر واش لكونسّاجي كايخدم مرة أخرى,Think about me and ask me if I can serve again
I dare you to fight your wife,نتحداك ت حارب مع راسك,Don't you have to fight with your boss
 you are too late to get healed,تعطلي بزّاف باش تخلص,Give me more than one
he is a bum,راه كيمشي,The way I like it
we will move to canada,غاننتقلو ل كانادا,We've been to Canada
it's a reflection of your mental state,راه عكس ديال لحالة ديال عقلك,The other way around is to tell you
Let me tell him what to bring,خليني نڭوليه شنو لي يجيب,Let me hear you answer
you are not reliable,ماعنديش ثقة,I don't have any confidence
i need to make my nails,خاصني نستعمل ليا المسام,I am working for the rest of the season
he may want to sit alone,إمكن بغيه يجلس بوحدو,Couldn't get him to sit here
"One question, Sandra:",سؤال واحد، ساندرا:,"One question, Sandra:"
dying slowly,كايموت بيه,I'm dying
Anytime you need to talk just call me,إمتا حاجك تناقش معايا غير عيط ليا,I need you to discuss with someone who doesn't know me
you upset me with this,نتا خليتي هادشي,I'm not going to do this.
january,شهر كانوناري,The city of Kanonari
i believe i have money,كانضن عندي فلوس,I had some money
i'm thirsty u need to drink,أنا عطشة خاصك تشرب,I am your special drinker
I thik the cook thinks everybody has dodgy false teeth or even no teeth at all,كان كيسحاب ليا كايسحاب ليا كولشي عندو سنان كاذب زوينين ولا حتى ماعندوش سنان,If there were any love for any love for any one who had a lie and a lie for any one who had not heard it
it's the first time I see you,هادي أول مرة كناشوفك,This is the first time we've seen you
i have a problem,عندي مشكل,I have a problem
why are you cheap,مالك غير رخيصة,Your property is not inexpensive
It would be great if you could help me organise it?,غادي يكون مزيان إيلا قدرت تعاوني ن رتبّه؟,Will it be interesting if I can work with you?
they pay for her,كايخلصو عليها,How did you find her?
Let's put some pictures on Instagram,خلينا نضع شي صور ف إنستغرام,Let's put some pictures on Instagram
I enjoy learning languages,كايعجبني نتعلم اللغات,How do I learn to speak the language?
Last but not least,آخير ولكن ماشي أقل,Last but not least
So far so good,حتى هادي مزيان,Even if I had to
I'm a big fan o Kpop,أنا معجب كبير ب كيبوب,I am a big fan of this book
how are you,كيف راسك,How could I?
i dont want nothing,ماعنديش ما بغيت,I'm sorry I want to
he want to exploit your money,بغا يستغل فلوسك,Bigga is not using your money
he did what I wanted,راه لي درت لي بغيت,That's the way I want it
Maybe it's his glasses that are horrible!,إمكان ليه النظارات ديالو لي خايبين!,Can he wait for me to see you?
i give my mom half my salary,أنا كايعطيك ماما نصاف ديال راتي,I'll give you half of the night
I do have small unit of beet and tomatoes. ,عندي واحد صغير ديال البرا و الطماط,I have only one little one of the alpha and fatma
Cover you head with a scarf,غطي راسك ب شال,Cover the street
i clapped and motivated them,صافي و تحفيزتهم,Clean and give them a present
i love myself more than anything,كايعجبني راسي كتر من شي حاجة,I like my hair better than anything else
"Oh, my God.",أوه، الله.,"Oh, my God."
its money,راه الفلوس,The way of the money
Have you tried to take the best price,عمرك جربتي تقدر من أحسن سعر,Your age has shown you can afford the best price
open the door,إيلا كان غير كايحضر ليك الباب,Otherwise I would not have been there for you father
dont lose and be sore ,ماتخسرش و ماتحزنش,You are not disappointed and sad
i will not keep these clothes,مابقيتش باغي نحتفظ على هاد الحوايج,I kept my promise to keep this promise
Let me be humble,خليني نكتّر,Let me get out of here
Studying the consequences of decisions that were taken in the past allows you to understand what the right decisions to make today!,قراية لنتيجة ديال القرارات لي درت فالمسّا كايعطي ليك تفهم شنو القرارات لي صحّة لي غانديرو اليوم!,Read the result of the decisions I gave you the question to understand why the decisions are true for me today
february,شهر,City
"There is a girl photographer, sister. ",كاين واحد الصوتوغرافيات، أختي,"There is only one photographer, sister."
Is it possible to get an extension?,واش ممكن نستمر ليه؟,Can we continue on?
i have allerfy,عندي حساسية,I have a sensitivity
you are a bum,نتا واحد الباس,There is no one boss
without you starting to shout,بلا ما تبدا ت صيح,Nothing ever really happened.
Have you tried to cheat in this exam,عمرك جربتي تفرج ف هاد الامتحان,You tried this exam
you dont listen to me,ماكاتسمعش ليا,You never told me
He sneezes a lot,كايحسّ بزّاف,I feel like a big man
"I build sand castles eat lollies and go for walks, as I said.",كنبني قلاع رمل كايكل لوليا و كايمشي نتمشّا، كيما قلت.,"I could have been a little like you and I could have been a little like you, as I said."
The food was delicious,الماكلة كانت زوينة,The meal was beautiful
when we came alley is empty,فاش رجعنا هادي,Fash returned our guide
The fish say hello,الحوت كايسالح,Al-Hot is easy
"Or, we could go now, while you haven't had enough time to change your mind!","أيا, نقدرو نمشيو دابا, بينما ماعندكش وقت باش تبدل راسك!","Oh, cash's on the way, while you don't have time to change your way!"
"And, as you know very well, you had to be perfect!",و، بحال لي كتعرف مزيان، خاصك تكوني كامل!,"And, restore me to know better, especially be perfect!"
Ha ha!,ها ها!,Ha ha!
i'am good at cooking,أنا راه مزيانة في الطيب,I'm on my way to the albatross.
why are you still friend with him,مالك مازال صاحب ديالو,"What is still there, Mr. Diallo?"
I'm waiting for you to salute us,كانتسنّا فيك ت سلم علينا,She was always with us
if only I could fix a goal,كون غير قدرت ن حدّد ليه شي هدّا,Being unable to limit himself to anything
What do they study?,شنو كايقرا؟,Did you read?
"Yes, let's hope so",آه، يالاه، نتمنو,"Ah, alaah, we are together"
i have nothing,ماعنديش,I'm not.
The meeting was canceled,الاجتماع كانسّل,The meeting is canceled
if only i stroke him,كون غير قدرت ن ضربو,I am not able to multiply
They move in packs,كايتنقلو فالحوايج,How can you change your mind?
Let me take him to school,خليني نجي بيه للمدرسة,Let me go to school
go changethe fridge,سير فالفريج,Sir Falfridge
Take anything you want,خدي لي بغيتي,I've got you
take care,راسك,I can.
thanks for helping me calm down,شكران على كون ساعدتي على هادير,Thank you for helping me here
this player is phenomenal,راه زوين هاد لعب,That's the way it is
she speaks seriously,كايحضر بجد,How did you get here?
my mom made dinner,ماما درت العشا,Mama gave you the dish
welcome my friend,مرحبا صاحبي,Hello my friend
His arogance knew no limits,ماكانش كانعرف الحدود ديال طمع,I could never have known the limits of the world
if only I could make a band to rob,كون غير قدرت ن قادي فرقة باش نسرق,Being unable to lead a band to our lives
I dare you to come at time,نتحداك تجي فالوقت,Don't you get your time
I have a stomachache,عندي صداع,I have a dream
I will bake a cake,غادي نخبز كيك,We're going to eat you
He has a strong consciousness and has his way with words.,عندو واع قوي و كايدي راهو ب الكلمات,They have a strong promise and I can speak no words
I don't like bad behaviour,ماكانعجبنيش السلوك الخايب,I never thought about the other way
I'm waiting for you to make a good spot,كانتسنّا فيك ت دير شي بلاصة زوينة,We thought you might be a good place
Shall we have it at home?,واش غادي نحتاجو فدار؟,Do we need a father?
I'am going to beach,أنا غادي نتحط على البحر,I'm going to the sea
He doesn't look like a nurse,ماكايبانيش بحال الممرضة,I never returned the patient
what did you do with your salary?,أش درتي مع لوراق ديالك؟,Do you have a book with you?
He recieved a gift,تلقى شي هدية,I always got a present
it's time,راه وقت,Time to go
How is she?,كيدايرها؟,How do you get it?
how parentes,كيفاش العائلة,How is the family?
Let me face,خليني نتعامل,Let me deal with you
do you speak darija,واش كتعرفو دارجة,Do you know how to dance?
in a way,ب طريقة,That's the way
You don't want to do your job,مابغيتيش تدير الخدمة ديالك,You are not bound to do your service
do u live here,واش كايساكن هنا,Wash your hands here
this is not good,هادشي ماشي مزيان,This is so good.
why you dont wanna come back,علاش مابغيتيش تعاود,I hope you will return
"Get me a coffee, please!",جيب ليا قهوة، عفاك!,"Live for coffee, please!"
I prefer the beach,كانفضل البحر,It was the sea
long ones of course,بطول طبعا,Of course
"Recently, it started to grow.",مؤخرا، بدا كتر.,"Recently, I started out."
I don't know why are you coming here,ماعرفتش علاش جايت هنا,I don't know why you're here.
he used me,راه كايستغلني,How do I use it?
are your families there,واش العائلة ديالك كاين تما,Wash your family
It was absolutely delicious.,كان مزيان بزاف.,It was a very nice thing.
i will fix a table,غادي ندير ليك طابلة,I'll show you a table
I dare you to find trusthfull people to work with you ,نتحداك ت لقاو شي ناسّ لي كايطيعو ليك يعاون معاك,We're going to find someone to help you out.
