Original Eng,Translated AR
eat,كولي
I don't know where to begin ,ماعرفت فين نبدا
Come shopping,جي تسوق
she won't refuse your request,ماغاترفضش ليك
we need to fix it,خاصنا نديرو ليه
this is a moroccan product,راه هادشي المنتج المغربي
Don't make bread ,بلا ما تخلع الخبز
"I'm a computer engineer, and I work from home, too.",أنا مهندس ديال الكمبيوتر، و أنا كاندير من دار، تاهوا.
I'm sorry,سمح ليا
do what she pleases,دير لي بلي كايعجبها
mockery,الضحكة
What do you suggest then?,إوا شنو تقترح؟
too many steel,بزّاف ديال الحديد
i will take your carpet,أنا غادي نجي ليك سجاد
he is walking with sheep,راه كايمشي مع الماشية
its only Tuesday remaining,هي تلاتة لي باقي
she gave her son,عطات ولدها
Without paying.,بلا ما تدفع.
Beneath the stars!,تحت نجوم!
we work together,كنخدمو معا
we have good relationship,عندنا علاقة مزيانة
sitting here is  allowed,هنا يسمح بالجلوس
it seems they respect him,كايبانو كايحترمو
I'm not planning on inviting the Queen of England!,ماكانخططش نستدعي ملكة إنجلترا
come take my son,أجي تجي عاودني ولدي
without hesitation,بلا ما تردد
last weejk i got hurt a bit,سيمانة لي فاتت جرحت شوية
stop writing ,بلاسي كتب
Why don't you want to respond to me,علاش مابغيتيش تجاوب عليا
Ok!,واخا!
if only i retired,كون غير قدرت ن تقاعد
i like this bracelet,عجبني هاد البراسلي
come i have to many news for you,أجي عندي ليك مزيان ديال الأخبار
do you have brothers or sisters?,واش عندك أخوات ولا أخوات؟
I dont think  he will perserve clothes,مانضنش غادي يبقى حوايج
you are slow,نتا مساكين
you should never help him,عمرك ت معاويه
I have one hell of a plan,عندي شي خطة سخيفة
I dare you to delete his phone data,نتحداك ت حيد ديتو ديال تليفون
always the family help me in vacation,ديما العائلة كايعاونني فالعطلة
i'm still late,باقي تعطلي
ill try with them and come to you,ماعمرش تمشي معاهاوم و نجي ليك
i was fooled in exam,راني كنت محرّك فامتحان
learn to get here early ,تعلم تبرك هنا بكري
Can you show me on the map?,واش تقدر ت وريني على الخريطة؟
do what you have,دير لي عندك
"Okay, I'll see if that's right","واخا, غادي نشوف واش هادشي صحيح"
You don't want to hang your clothes,مابغيتيش تعلق حوايجك
go take from tree some oranges ,سير خد من شجرة شوية ديال ليمونات
you nothing,نتا ماشي
And you?,و نتا?
you will erase his memories,غادي ت مسّك ليه ليك
only trust your sibling,غير ثق ف خوتك
he told us nothing sister,ماڭولينا والو
let's see you in court,نشوفوك ف المحكمة
buy traditional clothes,شري حوايج تقليدي
Keep your promise,حافظ على الوعد ديالك
i dont think he will balance his children,مانضنش غادي يخلصو ولادو
i stay in streets,كانبقاو ف شارع
I'm coming now,أنا جاي دابا
I dare you to set a trap,نتحداك ت قدي شي فص
Have you tried propose to someone,عمرك جربتي تزوّد شي واحد
do you follow any sports leagues regularly?,واش كاتتب شي ليبا ديال الرياضة بانتظام؟
he speaks too much,كايحضر بزّاف
I dont think i will cut the road on you,مانضنش غادي نقطع ليك طريق
everyone came,كولشي جاي
"Hi, this is my first time flying and I have to admit that I'm a bit nervous","أهلا, هادي أول مرة لي طير و خاصني نعتترف بلي أنا عصبي شوية"
I know.,أنا عارف.
count how many gram ,عدت شحال ديال غرام
I'm wearing something very similar myself!,أنا بلي على شي حاجة بحالها بزاف!
Let's sort out the clothes,يالاه نتفرجو الحوايج
They robbed the bank without rising any attention.,راهوم سطو البنك بلا ما يرفعو أي اهتمام
i dont think we will win world cup,مانضنش غادي نربح العالم
honestly I don't remember her name,بصراحة ماعقلتش اسمها
"No, no. You're starting to look crazy to me. ",لا لا، تبدا كتراني مجنونا
Why don't you want to suprvise this project,علاش مابغيتيش ت زيد على هاد المشروع
i have love fever,عندي حشية ديال الحب
why are you sick,مالك مريض
2000 words,2000 كلمة
why this trainer is arrogant,علاش هاد المدير كايكبر
and then,و بعد
good luck to you,حظك
How about you?,واكس نتا؟
a few,شوية
i'am very busy now,أنا مشغول بزاف دابا
I will do tomorrow,أنا غادي ندير غدا
it will be very windy,غادي يكون ريح بزاف
she insulter me,كايهزّني
the sky is clear today,اليوم كايسحاب اليوم
Why don't you want to fund the project,علاش مابغيتيش تمول لبرنامج
go buy groceries,سير شري شي حاجة
i just did my bed,راني غير درت فراسي
my turn,دور ديالي
i dont want to clean the clothes by myself,مابغيتش نضرب الحوايج بوحدي
How often have you been to Ukrain?,شحال من مرة كنتي ف الأوكرانية؟
let's make something,أجي نعمل شي حاجة
i think of going back,تانفكّر واش نرجع لور
hat do you study in fac,ماكنتيش كتقرا ف فاكس
man,راه راه مسيان
"Well, you know, we'll take care of the raw vegetables",واخا، راك عارف، غادي نتعاملو مع الخضرا الخام
forget this talk,نسّا هاد ل محاضرة
"At your age, living in a world of Manga and cartoons, pathetic",ف عمري، عيش ف عالم ديال المانغا و الكرتونات، مزيان
why you dont wanna bring people to help you,علاش مابغيتيش تجيب ناسّ يعاونك
It's quite original,هادشي أصلي
why you complain,علاش كايتشكو
i dont feel well,ماكانشاتش هادشي
On the pressure?,على الضغط؟
i feel like  forgot something,كانحسّ بلي نسيت شي حاجة
I am under the weather,أنا فخير
Besides the weather might break,علاوة على هاد الطقس ممكن يسرق
from god,من الله
the bride took the first piece,العروسة خاطت أول قطعة
so yo uwant it to heal,إوا نتا بغيتي ليه باش يدير
Now can you start prepping the potatoes,دابا تقدر تبدا تهيّن ل البطاطا
i will not say what you want,مابقيتش باغي نڭول ليك أشنو بغيتي
I do not involve myself in this ,ماكانشطّطش ف هادشي
this pants doesnt fit,هاد البنطال ماكايتسقاش
god know what they prepared for her ,الله إعرف شنو عاوضو ليها
"No, I'm afraid not","لا, خايفاش"
you need to fight,خاصك تقاتل
eyebrows fell,فرقت ليا شفتي
Live your life. ,عيش حياتك
"But this one, it wouldn't feel bad at all. ","ولكن هاد واحد, ماغاديش يشعر بشدة"
she went away altogether,مشات كاملة
fill my cup,كامل كاس ديالي
I don't know what it go bad. ,ماعرفتش شنو كايخسر
What do you have tomorrow?,أش عندك غدا؟
i pass good day with you,و أنا كنت كانهز معاك
You bring back memories of these South American countries?,كاتعيد ليك تذكريات ديال هاد بلاد ديال أمريكا الجنوبية؟
what are you having for diner,شنو غادي تعيشو ف العشا
Do you see green and red together all the time?,واش كاتشوف الخضر والحمر معا ديما؟
i like to go out with my friends,كايعجبني نتخرج مع صحابي
i bought a new jelaba,شريت شي جبلة جديدة
i m going dirry,أنا غادي نستعرض
does it snow a lot here?,واش كاتفرج بزّاف هنا؟
I dont think i will punish you,مانضنش غادي نعاقبك
I dont think you will choose what to do,مانضنش غادي تختار شنو غادوي
i need new sockets,خاصني سوكات جدادة
leave me alone,خلي ليا
you came for me,جيتي عيطي
"Well as you asked about vegetables, I only gave my choice of vegetables, not other accompaniaments",واخا كيما سئلتي على الخضرا، عطيت غير الخضرا لي اختيفتو، ماشي معاقبة أخرى
so,راه
my mom went to club,ماما مشات ل لبرقة
I bought a shirt yesterday,شريت شي كميرو البارح
they told me to go sit,قالو ليا نمشي نشط
I dare you to breastfeed your children,نتحداك ت دير ولادك
he lives in poor house he met painters,كايعيش فدار فقير تلاقيت شي رسام
where are you going,فين غادية
we are not living,ماعيشوش
What is this exciting book you're reading?,شنو هاد الكتاب المثير لي كاتقرا؟
you are too late to go abroad,تعطلي بزّاف باش تمشي لبرّا
She had a lot of guests over.,كانت عندها بزاف ديال الضيوف.
who will accept him,شكون غادي يقبلو
I couldn't wait for you any longer,ماقلتش كانسناك مزيد
I run my own business,أنا كاندير مشروعي
may god extend your lifetime,الله يطول عمرك
Have you tried to clim up a tree but got broken,عمرك جربتي تسلق شي شجرة و لكن ماتحسّك
bring me my money,جيب ليا فلوسي
he eats too much,كايكل بزّاف
he can,راه قادر
the air is clean in the countryside,هوا صافية فالبلاد
This computer is not working anymore,هاد الكومبيوتر ماخدامش بعد هادي
the girls laughing,البنات كايضحك
i want him to be good,بغيتو يجي ليك
"He is the big heart. Whatever you want, he will bring it to you. ","هو القلب الكبير. شنو بغيتي, غادي يجيب ليك"
a mustache?!,شيرحة؟
It's my first time wearing high heels,هادي أول مرة لي كايلبس كايديها الكوب
I have done it,درتها
you should go you will intimidate him.,خاصك تمشي غاتخوفو
Do you have enough plates and galsses?,واش عندك ماكلة و شرايين كافين؟
you are too unlucky,نتا خايب بزاف
what have they done with you,أش درتوك
is the road hard for me,راه راه راه صعيب عليا هاد طريق
you axeggerate,نتا كايزين
i agree with your terms,أنا متافق على شروطك
hey gimme a hotel,سلام عطيني فوتيل
I dare you to surprvise them,نتحداك ت مفاجئهم
I'll go see what I need,غادي نمشي نشوف شنو خاصني
Have you tried consult your kids,عمرك جربتي تشاور ولادك
she will wet her place,غادي تفرّس فلبلاصة
this act are not yours,هاد الفيلم ماشي لي عندك
i wont financially help you,مابقيتش باغي نساعدك فالمال
no problem,ماشي مشكل
Have you tried to confront a politician,عمرك جربتي تواجه شي سياسية
i will mind my work,غادي نستمر فالخدمة
That would be great!,هادشي غادي يكون زوين!
don't try it next time,بلا ما جربها المرة الجاية
Let me go first,خليني نمشي أولا
he won the gold medal,هو لي ربح الميدالية ديال الذهب
how about saturday night?,أش بان لليل السبت؟
is shame,واش العار
what did you say,أش قلتي
We could never concentrate at home.,ماعمرنا نتركزو ف الدار.
i thought that he catched a fish,كان كيسحاب ليا غادي يسبق شي سمكة
It's not fair.,ماشي عادل.
i thought that he catched the falling phone,كان كيسحاب ليا غادي يدي تليفون كايسوق
maybe you are scared,إمكن نتا خايفة
go wear nice,سير ترتدي هاد الدراري
akgerie are still ,العقرية مازال
I'm not looking for anything,ماكانهتش باغي ف شي حاجة
i need to hit the road early in the morning,خاصني نمشي ف طريق فالصباح
i'm into photography,أنا مبدعة ف التسجي
what is your favorite recent memory?,شنو أحسن واحد من خاطراتك لي عجبك فالأخير؟
i wish i could stay with you,ماكرهتش بقا معاك
have you ever met a professional football player?,عمرك تلاقيتي شي لاعب كرة كورة محترف؟
your skin is soft,جلدك ردي
i get fooled easily,كايخدّعني بسهولة
you lie too much,كدبي بزّاف
why you did this,علاش درتي هادشي
do you trust your men,واش كايتيقو ب رجالك
I ll get my cards out in a minute,غادي نخرج كارتات ديالي ف ديك دقيقة
I'm waiting for you to ask for my help,كانتسنّا فيك ت طلبني عاونتي
i told you take care of your work,قلت ليك دخل خدمتك
every year,كل عام
bring me something with you,جيب ليا شي حاجة
we come back,رجعنا
i won a medal,راني ربحت تمال
i will waste my studies,أنا غادي نخرس دراستي
close the window before getting out,سد شي فرشا قبل ماتخرج
Don't look for med,ماتقلبش على طب
did you not taken all the paid leave days ,واش ماخديتيش ليهوم ديال العطلة ديال العطلة ليومات
I will take care of him,أنا غادي نتعامل معاه
she is capable,راه قادرة
"Girls, tell me what I should do now ",بنات، قولي ليا أش غانديري دابا
call me in abit,عيط ليا ف أبت
I'am a lawyer,أنا محامي
your brother has it,راه خلك عندك
And my head's a bit funny,و رأسي كايضحك شوية
he makes tanjia,كايدير تانجيا
I tried the dress is so small for me,جربت الفستان صغير بزاف
I presume you mean lanes,كانضنش عندك لمان تقصدين لسبور
you had a surgery,خديتي عملية
What do you mean by toppings?,أش كيعني ب لدوك؟
we are patients,حنا ناسّي
i was dying of boredom at work today,كنت كان كايموت من العطلة فالخدمة اليوم
i was walking,كنت كنمشّي
he doesnt have kids,ماعندوش ولاد
The best experience I had was at the ISTA.,أحسن تجربة لي درتها كانت ف إستا
Can you call back later?,تقدر تعاود ليا من بعد؟
the teacher is frank with you,الأستاد صراحة معاك
I'm gonna send you an offer,غادي نصيفت ليك شي عرض
she bought him a ring,شريات ليه خاتة
you are too late to learn how to swim,تعطلي بزّاف باش تعلم كيفاش تعوم
somehing maddening me,شي حاجة كايتحسّن عليا
i will not change my barber,مابقيتش باغي نبدل شعري
you are too late to open the box,تعطلي بزّاف باش تفتح هاد الكيسّة
we love each other,كنبغيو بعضنا
in the last year they organized a party,ف العام لي فات هاديو حفلة
without organizing his stuff,بلا ما يدير ليه شي حاجة
I dont think i will congratulate him,مانضنش غادي ن تهانيه
you are going out or not ,واش غادي تخرج ولا لا
you know,راك عارف
i made my parents happy,أنا راني فرحت الواليد ديالي
i have stayed at home for whole week,سبتة كاملة بقيت فدار
don't say bad words,بلا ما تقول ليا كلمات خايبة
Have you tried to exploid a tire,عمرك جربتي تفجّر شي طائر
you still new,نتا مازال جديد
what happened to you ,أش وقع ليك
i was n't comfortable to him,ماكانش مريح معاك
first month,شهر الأول
this system is too slow,راه بطل هاد النظام
They are a gang.,هاديو عصابة
Don't go with him,بلا ماتمشي معاه
we have found gaz,لقينا غاز
 I'm lybrian,أنا ليبرياني
we will break off the engagement,غادي نتوقفو على العطلة
we need to clean floor,خاصنا نخلصو لفرش
this flower is good,هاد الورد زوين
"I remember him, and it's true that he was always looking at you in a very inappropriate way.",كانذكره، و صحيح هو كانشوفك ديما بطريقة غير مناسبة
give me 100dh,عطيني 100 درهم
becareful of these 6 chickens,حنا من هاد الستة دجاجات
they will hit them hard,غادي يضربو بزاف
i passed the test,أنا نجحت ف الامتحان
i understand now,فهمت دابا
the local doctor,طبيب ديال البلاد
go put sheets in the corner,سير سدّر ف الزنّة
Have you tried to speak to me this way,عمرك جربتي تڭول معايا هاد الطريقة
you are annoying,نتا كايزعجني
i thought that make rockets,كان كيسحاب ليا غادي يدير راكيت
why don't you want to  drive well,علاش مابغيتيش تسوق مزيان
i ask about nothing,ماكانسول على هادشي
flattery,الدرع
i will eat bread,أنا غادي ناكل الخبز
what's your father's name?,شنو سميتو باك؟
next time ,المرة الجاية
i will buy many pens,أنا غادي نشري بزّاف ديال القلم
i think if he will apreciate me,تانفكّر واش غادي يقدرني
cover up,غطّي
"Yeah, we can try to go down that way",آه، نقدرو نحاولو نڭلس من هاد الطريق
you need to take some rest,خاصك ترتاح شوية
water is there,كاين الما
stay put,تبقى فبلاصة
tell me everything,قول ليا كلشي
it's better everyone understand,خير كلشي يفهم
When do you get off work?,إمتا كايخرجي من الخدمة؟
thats why,هادي سبب
i want my kid to have papers of Germany,بغيت ولدي يدي ليه شي ورقة ديال ألمانيا
Have you tried to curse a cop,عمرك جربتي تخرب شي بوليس
I actually thought I'd managed to convince you for once!,كان كيسحاب ليا فالحقيقة قدرت ن قنعك مرة!
crying ,كايبكي
like he begs with his kids,بحال كايبغي مع ولادو
I am scared to death,أنا خايف حتى الموت
did you study,واش قريت؟
it was like time had slowed down,كان بحال لوقت كان تبطأ
Yes I can do that for you.,آه إمكن ن دير ليك هادشي.
is not your home alone,ماشي دارك وحدة
And of course they're homemade!,و بطبيعة الحال راهو مبرّدّين ف الدار!
do you know what you did,واش عارفك أش درتي
people don't have solution for this problem,ناس ماعندهمش الحل ديال هاد المشكل
i want to rest,بغيت نراسا
i want to take a shower,بغيت ندوز
that's not fair,هادشي ماشي عادل
In life nothing is perfect.,ف الحياة ماكاينش حاجة كاملة
do you have an instagram account,عندك حساب في ستاج
where can i do laundry?,فين نقدر نخلّي لحوايج?
You don't want to develop industry and agriculture in your country,مابغيتيش تطور صناعة و زراعة فبلدك
that we put with spinach,لي كايديرو مع سبانق
i send my application,أنا كانرسّل ليك البلاغ
How can you be so sure?!,كيفاش تقدر تكون متأكد؟
"No, you don't!",لا، ماكانهتيش!
You think your dog will like chicken pie?,كادري واش لكلب ديالك غادي يعجبو فطيرة ديال دجاج؟
Have you tried to scam people ,عمرك جربتي تخدّد ناسّ
He went to the library,مشا للكتاب
i didnt think he will do it,ماكانش كايسحاب ليا غادي يديها
You are not a toddler!!,نتا ماشي صغار
what do you intend to do,اشنو غاتديري
you've been loud since morning,راك كايعني من صباح
"There will be ten clients, who booked for tonight, at twenty o'clock.",غادي يكون 10 ديال العملاء لي حجزو لليلة، ف العشرين ديال الساعة.
until the holidays if god wants,حتى العطلة إيلا بغا الله
take care of yourself work won't vanished,راسك راسك الخدمة ماغاتخسرش
my father forgot to pick up my brother,بابا نساو يدي خويا
you should never praise me,عمرك ت مدحني
god will give more,الله إمتاع ليك
fb is working,الفب كايدير
i need to revise thsi topic,خاصني نقوم بزاف على هاد الموضوع
You don't want to copy me,مابغيتيش ت قدو ليا
Have you tried to reduce alcohol,عمرك جربتي تخفض من الكحول
thing that i was counting on didn't succeed,راه ماخدمتش هادشي لي كنت كانعتمد عليه
better ask forgiveness,خير تلبي ليا العفو
its in her home,راه ف دارها
i dont have it,ماعنديش
forgive me i have something to do today,سمح ليا عندي شي حاجة باش ندير ليها اليوم
my dad broke the door,بابا حطّم داك الباب
You don't find conversation issues with them?,ماكتشافيش معاهم مشكلات ديال المناقشة؟
Don't disappoint me,بلا ما ت خيب ليا خيبة الأمل
leave him rot,خليه يدي فخ
when you die you go to the creator,ملي كايموت كايمشي لخلق
Do you think of confess,تانفكّر واش نعتي
They brought me glasses and considered me a stranger,جيبو ليا نظارات و حاسباني غريب
I haven't seen the physics teacher,ماشفتش أستاد الفيزياء
Saturday ,سبت
you should never falsify what i said,عمرك ت زور ليا داكشي لي قلت
when is dinner,إمتا العشا
a girl is rich,واحد البنت غنية
im just kidding,أنا غير كايهزّز
what's the most exciting match event you've attended?,شنو أكتر مسابقة حريرة شهيتها؟
tell me,قولي ليا
she heard the story,سمعت القصة
the only thing you do is playing with phone,غير هادشي لي كادير كيدير بيهات
Men haven't yet been invited,مازال ماعرضوش على الرجال
god help us,الله يعاوننا
I dare you to not get tired,نتحداك ت تخلّف
Really?,بصح؟
i'am wearing earphones,أنا فباس تيلي فالأيدي
this is a needle,هادشي إبر
thanks son,الله يقدر يديو ولدي
smoking cause prostate cancer ,التدخين كايديو ليك سدسر ديال البروستاتا
who are you,شكون نتا
I live in australia,أنا كانعيش ف أستراليا
this house is on the river,هاد دار كاينة ف نهر
I don't like their talk,ماعجبنيش هاد الحضرة
Let me close them,خليني نسدّهم
do you want a girl or boy,واش بغيتي بنت ولا ولد
Don't do that!,بلا ما دير داكشي!
how do you stay connected with loved ones?,كيفاش كيبقى كترابط مع ناسك؟
he is suscpious in the crime,هو شاكك ف الجريمة
you just remained,غير بقيتي
if only I could buy you a deserful meal,كون غير قدرت ن شري ليك شي ماكلة لي كتساو ليك
he can take this,يقدر يدي هادشي
do you want to make me problems,واش بغيتي تخلّص ليا مشاكل
i was dead,كنت ميتة
take care,راسك
It's forbidden to smoke,ممنوع التدخين
I want to travel the world,بغيت نسافر العالم
lets go to the sea,أجي نمشيو لبحر
october,شهر تشرين الأول
that day i found a dead cat,هادي نهار لقيت واحد القطة متوفية
thanks teacher,شكران أ مولاي
I'd like to rent a car,بغيت نكري طونوبيل
My grandkids are fine,نطفاتي راهو مزيان
You don't want to fix a goal,مابغيتيش ت تحدّد شي هدّة
my eyes are so puffy,عينيا متورّعات
i went to the court,مشيت المحكمة
this is making me dizzy,هادشي كايديرني
I dare you to search on this matter,نتحداك ت بحث ف هاد الموضوع
reduce suggar,خفّص من السكر
We travel without any worries.,كانسافر بلا ماشي
delte this message please,ديل هاد البريد عفاك
what do you think?,أش بان ليك؟
how do you stay organized?,كيفاش كايبقى تمنّا؟
No I dont have a compass or a map.,لا ماعنديش ل لوسّر ولا خريطة
What time do you want me to come over?,عمن ساعة بغيتيني نجي؟
he treated me like his daughter,راه دراني بحال بنتو
Have you tried to marry from your family,عمرك جربتي تزوج من عائلتك
i was in a gathering,كنت فشي حفلة
Is it possible to repeat?,واش ممكن تكرر؟
i will spend my money,أنا غادي نستفيد فلوسّي
i will eat your apples,أنا غادي نكل تفاحك
 you are too late to clean your hand,تعطلي بزّاف باش تنظف يدّك
happy because im breastfeeding my son,فرحانة حيت أنا كاندير ولدي
What's wrong with the countryside? ,شنو لخايب ديال البلاد؟
what do you want again,شنو بغيتي مرة أخرى
god help you,الله يديرك
long time ago,راه زمن
my card is not working anymore,البطاقة ديالي مابقاتش كاتخدم
you know i have one word,عارفك عندي كلمة
you should have gone,كان عليك تمشي
i think that too i wil lcall them,تانفكّر غادي نعاودهم
"That's what pilots do, not anyone you know!",هادشي لي كايديرو الطيارات، ماشي شي واحد كاتعرف!
"Hi, I m better when we get in the air",سلام، أنا أحسّن منين نخرجو ف الهواء
i thought that he will show me the exam,كان كيسحاب ليا غادي يرايني لامتحان
it would be better,غادي يكون مزيان
what she saying,أشنو كايقول
i thought that  he will find me a job,كان كيسحاب ليا غادي يلقّ ليا شي خدمة
It must have been a really tough day,خاص ليه يكون نهار صعيب بزاف
i dont like cake ,ماعنديش معجبة بالكيك
without killing the bug,بلا ما تقتول لبرك
you are too late to give avance,تعطلي بزّاف باش تعطي شي شي فانوس
I applied a mask to my hair,سدّيت ماسك ف شعري
Do you have any allergies?,واش عندك شي حساسية؟
That's another reason I don't like flying!,هادي سباب أخرى علاش ماعجبنيش طيارة!
I don't know what to do,ماعرفتش أشنو ندير
i will reserve some time for family,أنا غادي نجيب شوية ديال الوقت لعائلتي
this boy is well behaved,راه هاد الولد كايبقى هاد الدراري
he likes black,كايعجبو السود
let me go with you,خليني نمشي معاك
if you are scared keep it down,إيلا كنتي خايفة خليها
Let's get out of the room quickly!,يالله نخرجو من هاد الغرفت بزرب!
we will eat home,غادي نتكلو فدار
What place exactly ,أشمن بلاصة بالضبط
I'm hopeless when it comes to directions.,أنا ماعنديش أمل لما يتعلق بالمواجهات.
I started from the beginning,بدايت من البداية
you know me very well,راك عارفني بزاف
i cant lend you,مانقدرش نستعرض ليك
a horror film,فلم رعب
my throat hurts,كايعاني ليا الحنجرة
conservative ideas,الفكرة المحافظة
Does this skirt suit me?,واش هاد التفاحة كايتسالي ليا؟
this model is very wanted,راه مبالغش هاد نموذج
i'm waiting for you to get this dress,كانتسنّا فيك ت ديك لروسو
i close it and it opens,أنا كانسدّها و كايفتح
better,مزيان
Why don't you want to excercice enoughly,علاش مابغيتيش تمرين بزاف
i made pasta,درت ليا لورقة
im not like the others,أنا ماشي بحال غيرهم
whats your name,شنو سميتك
"Well, I called my mother and my wife this morning, and then put my shoes outside",واخا، عيط ليا ماما و لزوجة هاد الصباح، و من بعد حطت الحذاب ديالي خارج
if only i showed you the way,كون غير قدرت نڭوليك طريق
if only I could drop him,كون غير قدرت نخلصو
It's lovely here,زوين هنا
i wanna rewatch the film,بغيت نرجع نشوف الفيلم
"And, seriously, do you ever really use anything you learnt in class?","و, صراحة, واش عمرك تستخدم شي حاجة تعلمتي فالقسم؟"
i thought that he will determine when the wedding,كان كيسحاب ليا غادي يحدد الموعد ديال العرس
i waiting to reach home,كانتسنّا باش نجي لدار
I finish my work late,كانكمل خدمتي معطلة
i thought that he will scratch my car,كان كيسحاب ليا غادي يفرش ليا طوموبيل
i thought that he will choke me up with smell,كان كيسحاب ليا غادي يخنقني ب ريحة
I get it,فهمت
Does your dog bite?,واش كايعمرك لكلب ديالك؟
can you take a picture with the tree,واش كاتسوق مع شجرة
do you know to do something,واش كاتعرفي دير شي حاجة
be optimistic,كوني متفنان
go finish your job,سير كملّي الخدمة ديالك
i heard you two had a fight,سمعت بلي كنتو شربتان
this is bad,هادشي خايب
you keep lying,كاتبقى كدبت
why dont you eat,مالك ماكلتيش
"For the music, I've prepared a playlist that I think you're going to love",ل الموسيقى، درت ليك لستة ديال الموسيقى لي كانضن غادي تحبها
You don't want to try this game,مابغيتيش تجرب هاد لعبة
Or I could get you something if you want,ولا يمكن ليا نحضر ليك شي حاجة إيلا بغيتي
what are the typical work hours in this country?,شحال ديال ساعات ديال الخدمة عامة ف هاد البلاد؟
Girls I want to reduce my weight. ,بنات بغيت نخسّر
i will prepare to go,أنا غادي نستعد باش نمشي
The moon is shining,القمر كايشعل
he deserves better,كايستاهل ليه خير
she found a job in this school,لقات خدمة ف هاد المدرسة
and she has somethibg,و عندها شي حاجة
this is too much respect,هادشي كايعني بزاف
call him,عيطو عليه
take me with you sis,خوني معاك أختي
Did you bring anything to make a fire with?,واش جبتي شي حاجة باش تشعل معاها نار؟
you changed,تبدلتي
"The other managers of his level, we don't know much about them",المديرين لي كايكونو، ماكانعرفو بزاف
have you arrived?,واش وصلتي؟
it taught us many things,علمتنا بزاف ديال لحوايج
you will loose nothing if you do this,ماغاديش تخسر هادشي
I'm out of bread and it's getting late.,نفاد الخبز و كاتسّو.
take it all,خديها كلها
we go to work proudly,نخرج نخدمو
god ease up thing for me,الله يخفّ ليا هادشي
I'm waiting for you to be responsible,كانتسنّا فيك ت مسؤول
don't stand,ماتبقىش
this is a diaster,هادشي دياسير
you need to collect data,خاصك تجمع داتا
one a time,واحد فالوقت
Oh dear!,أوه عزيزي!
this is really good,هادشي مزيان
this year materials is expensive,هاد العام المواد غالية
What do you say?,اشنو كادير؟
i was tighted,راني كنت مسخة
i like science fiction,كايعجبني الخيال العلمي
You don't want to clean the table,مابغيتيش ت تفرش طابلة
if you available come,إيلا كنتي مسيان جاو
You are one With whom talk does not go through ,نتا واحد لي ماكايمرش معاكم لڭاز
I'm hungry too.,أنا حتي أنا جوع.
what's your approach to time management?,أش كاين نهارك ف إدارة ديال الوقت؟
"i wish i could hit a ""pause"" button during life's chaotic moments",ماكرهتش ن تبرز على زرة ديال الراحة ف لحظات ديال الحياة
do you want to learn a few words?,بغيتي تعلم شوية ديال الكلمات؟
he travelled via boat,راه سافر فالقارب
i hate my noisy neighbor,كنبغيت جيران ديالي كايزعل
you teach 4h a day,كاتعلم 4 ساعة ف نهار
If that's allowed?,إيلا لي خلي ليك؟
i will curse you,أنا غادي نلقاك
whats the  matter with her,شنو ليها
The elevator's down again.,المصعد ماتزول مرة أخرى.
i will occupy the system,أنا غادي نستولي هاد النظام
this place is sacred,هاد البلاصة راه مقديسة
the electricity is of,الكهربا من
she prescribed meds,كتبت ليا دوا
Don't be mad at them,بلا ما تغضب عليهم
I'm waiting for you own a house here,كانتسنّا فيك ت مولد شي دار هنا
you are generous,نتا سخي
i want it to break down,بغيت يسرق
the parents when they grow up they become like little children,واليد واليد كبرين كايبدو كبارك من الأطفال
I'm serious,أنا كايهدر
I'm waiting for you to reserve in a hotel,كانتسنّا فيك ت حجز ف شي هوتيل
they are building a house,كايبني شي دار
authentic or fake ?,أصلي ولا مزيف؟
tell her to comeback to me i still love her,قوليها تعاود عليا مازال كايبغيها
it's just you that's retarded,نتا غير هو لي خليف
but answer me quickly,ولكن جاوبني بزربة
if only I could curse you,كون غير قدرت ن لعنك
quarter past,ربع و نص
He's full of tipping money. ,راه مليء بليط ديال فلوس
the 4th of month i did house work,فربع شهر درت خدمة ديال دار
 you are too late to start talking,تعطلي بزّاف باش تبدا كدوي
you speak weirdly,كاتڭول بغا
are you good,واش نتا مزيان
what did you do,أش درتي
the money saved you could do with them  sona,هاد الفلوس لي خليتي تقدر دير معاها سونا
i dont think he will pretend something bad,مانضنش غادي يبدّل شي حاجة خايبة
Why don't you want to determine what you want,علاش مابغيتيش تحدد شنو بغيتي
if only I could change my job,كون غير قدرت نبدل خدمة ديالي
if only I could praise you,كون غير قدرت ن تمدحك
I missed my flight,فاتني طيارة
they need to understand each other,خاصهم يفهمو بعضهم
 you are too late to apply dor the shool,تعطلي بزّاف باش تطبّق على هاد لدراري
you don't know her,ماكانهاتيش تعرفها
go stop him,سير خلعوه
go knock on the nighbors,سير طوق على الجيران
They threw tear gas in the bank.,رميو غاز دموع فالبنكة
if only I could paint my room with this color,كون غير قدرت ن نقّط بيتي بهاد لون
Why don't you want to hack a website,علاش مابغيتيش ت قاسح شي موقع
i used to play the piano when i was younger,كنت كايعزف البيانو فاش كنت صغيرا
he needed to start a newpage,خاص ليه يبدأ شي صفحة جديدة
"Look at my condition, I am hurt.",شوف حالتي، أنا جرحت.
its too much ripe,راه كايجرب بزاف
I asked you yesterday and you didn't answer,سألتك البارح و ماجاوبتيش
after will talk,بعد غادي نتكلم
i need to wait,خاصني نتسنّا
I'm taking the bus,غانقلّب ب طوبيس
