Original English,tgt,src
Which one is cheaper?,واي واحد أرخص؟,Which one is cheaper?
its bad to get robbed,واش خايت تاخدش,what are you talking about
I am hungry,أنا جائع,i'm hungry
this doesn't work,هادشي مايعمل,this is what he does
is there a pick up,هادي هاد بزّاف,this is too much
i was joking,أنا كُنْتُ كُنْتُ نِكّتُ.,I was joking.
I bought new underwear.,بعت لباس جديد,i sold new clothes
we can do nothing about it,مانقدر نديره,I can't do it
wait,هادشي,that's why
yes I'll be there,أنا غادي يكون هناك,i will be there
when is the gym,واين كانت الصالة الرياضية؟,Where was the gym?
the police called me because they are suspecious of me,الشرطة إتّصلوا بي لأنّهم خاشّون منّي,The police called me because they were afraid of me
do you have similar sickness,عندك مرض مشابه,you have a similar disease
i will not eat,أنا ماشي ناكل,i don't eat
no med healed me,مانو ديالي شفيت ليا,my dad has healed me
they talked and become friends,كانو يتحادثون و يصبحون أصدقاء,They'd talk and become friends
i have a job,كان عندي عمل,I had a job
forgive me ,سامحني,forgive me
why you dont wanna talk on your phone,علاش مابغيتيش نتكلّم على تليفونك,Why don't you want to talk to your phone
a boat drown today,بزّاف يغرق اليوم,he's drowning today
you sir of course,واش بزاف بزّاف,it's too much
i thought that  he will do what his father want,ظنّنّت أنّه سيفعل مايريده والده,I thought he was gonna do what his dad wants
she yell at me ,كانت تصيح ليا,she was yelling at me
this happen a lot,هادشي راه بزّاف,this is too much
yes until it's kneaded,واش مابقيت معلقة,what are you waiting for
That car is similar to my car,هاته السيّارة تشبه سيّارتي,This car looks like my car
i want roasted chicken,أريد دجاج مشوي,I want roast chickens
He was bathing his kids,كان يسبح أطفاله,he swims his children
i thought that i will mess your job,كانضنت بانني غادي ندير عليك شغلك,i thought i'd turn on your job
she made his life harder,هي جعلت حياتها اصعب,she made her life harder
"It's a good idea, I'll try it. ",هي فكرة جيّدة، أنا غادي نجربها.,"It's a good idea, I'm going to try it."
Yes the swans can be quite aggressive.,بزّاف بزّاف بزّاف بزّاف عدائي.,"too much, too much, too aggressive."
you only coming by force,غادي تاتي بقوّة,you will come with force
i will work everywhere,أنا غادي أعمل في كل مكان,i will work everywhere
i swear i had it,مانقسم عليه كان عندي,I had what I swore
no need to lie the problem is in the tactics,ما حاجتي لكذب المشكلة في التكتيكات,You don't need to lie about tactics
he wants to marry me,كان يريد ليتزوجني,he wanted to marry me
come I will show you what he bought her,أنا غادي نريكي ماكان شراها,i will show you what you bought
i dont understand,أنا مانفهم,I don't understand
moroccan dialect,ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,it's dial dial dial dial dial
they have a big farm,ديهم مزرعه كبيره,they have a big farm
where did you get in your work,فين وصلتي فعملك,where did you arrive
are you aware of waht happenning,راه بزّاف بزّاف بزّاف بزّاف بزّاف,it's too much too much
we heard yelling,كنا نسمع نصرخ,we heard screaming
he cried all night long,كان يبكي طوال الليل,he cried all night
i was hurrying,كنت نجري معاك,I've been running with you
do you defend her,واش تدافعي عليها,you will defend her
My grandfather passed away,مات جدّي,my grandfather died
i dont remember,أنا ماتذكّر.,I don't remember.
what's your favorite way to explore new places while traveling?,ما هي طريقتك المفضلة لاكتشاف أماكن جديدة اثناء السفر؟,What's your favorite way of finding new places during travel?
you want them to expose your thief of a son,مابغيتهم ليكشفو لسارق ولدك,I don't want them to expose your son's thief
told him i wont go,قال ليه أنا مانذهب,he told him i didn't go
why don't you want to ask about the thief identity,علاش مابغيتيش تسال شي شي هاد اللص,Why don't you want to ask this thief
we need to get early,يجب علينا أن نبكّر,We should hurry up
I'm thinking if returning this dress,أنا كانفكّر باش نرجع هاد اللباس,I'm thinking of getting back this dress
Why don't you want to control your wife,علاش مابغيتيش تتحكمي بزوجتك,Why don't you want to control your wife
the girl started laughing,بنت بدات تضحك,She started laughing
dont be afraid,ماشي خايف,it's not scary
how dont you find me,كيف مابقيتيش تاجدني,how come you don't find me
i'm moving out,أنا غادي نمشي,i'm going to walk
she danced,واش رقصت بزّاف,I danced too much
listen to me,استمعي لي,Listen to me
i have a dentist appointment tomorrow,عندي موعد مع طبيب الأسنان غدا,I have a dentist appointment tomorrow
Thank you doctor,راه ديال ديال ديال,hey hey hey hey hey! hey hey hey hey hey hey hey hey hey hey hey hey hey hey
i'm afraid i can't,ماخشيشش ما قدرت,I didn't know what to do
I went to the zoo,زرت ليا حديقه,I went to a park
It's a good time to feed the animals,الوقت مناسب لإطعام الحيوانات,It's a good time to feed animals
this is what you do,هادشي ماتعمل,That's not what you do
this is on me,هاد هادشي ليا,that's what i'm talking about
if only i took my chances,كون غير قدرت نجرب,if only I could try
he makes me stuck,علّقني,hang me
i'm at the alley,أنا في الزقاق,I'm in the alley
what the name of your mothers,ما اسم امهاتك؟,What's your mom's name?
"We should continue in our lives, no matter how it is. ",يجب علينا أن نكمل حياتنا، مهما كان الحال.,"We have to go on with our lives, no matter what."
my girl is shy,بنتي خايب,my daughter is disappointed
inchaealah goodbye,راه راه,there he is
Can you tell me why?,واش تقدر تاقول ليه؟,can you tell him?
there are so many sandwiches on the table,هادي هادي شطيرة على المنضدة,Here's a sandwich on the table
if I don't answer he keeps calling like this,غادي ماجيبت غادي ياتا هادشي هاد هادشي,i didn't answer it
you are too late to take responsability,تاخرت بزّاف باش تاكل تا غادي تا تاما,i'm too late to eat
if only i had aichora toys,كون غير قدرت ديال ديال ديال ديال,if only i could do my homework
we have,عندنا,we have
if I had a mom I be with her now,لو كان عندي أم، كنّا معاها الآن,"if I had a mom, we were with her now"
why don't you want to aim at him with a rock,علاش مابغيتيش تصوّب عليه مع صخرة,Why don't you want to shoot him with a rock
a,راه,Ohh!
He sings like an angel,راه يغنّي كالملاك,he sings like an angel
that is a lot of headache,هادا الكثير من الصداع,That's a lot of headaches
Here's Amina.,ها هي أمينة,there she is
these are family problems,هادشي مشاكل عائلية,this is a family problem
my neighbor sons died,مات بنيّ جيراني,my son died next door
you  are obliged to do it,واش تدّخرين فهادشي,you're not going to save your money
you know or not,ماعرفتيش واش ماشي,I didn't know what to do
until tomorrow,واش غادي,i will not
I did not find her,ماجدتها,i didn't find her
I am traveling to Turkey,أنا سافرت إلى تركيا,i traveled to turkey
be quick,كونوا سريعين,Be quick
i wouldn't recommend the meat,ماكنتا نوصي باللحم,I didn't recommend meat
this is the only thing I don't like,هادشي هو الشيء الوحيد الذي لا احبه,this is the only thing I don't like
i'am not a thief,أنا ماشي لسارق,i don't want to steal
still not eaten,واش مانزال غير مكلّم,Why aren't you talking
night is noisy,الليل صاخب,the night is loud
has they answered you,راه جاوبو عليك,he came to you
i dont want you to suffer like i did,مابغيتيش تعاني كما فعلت,You don't want to suffer like you did
i dont know if this true,مانعرفش هاد الحقي,we don't know this truth
he told me next month,قال لي الشهر المقبل,he told me next month
go oaway,واش غادي,what are you gonna do?
I'm waiting for you to help someone fro mdeath,كانتسنّا بزّاف تا غادي تا عاون ليا ديال فروبّا,I'm too busy to help you
he invited me and i meet him,دعاني و أنا قابلناه,he invited me and i met him
"Yeah, yeah, we spent three hours at the pool.",نعم، نعم، بقينا ثلاث ساعات عند البلياردو,"Yeah, yeah, we stayed three hours at the pool"
why all of this,علاش كل هادشي,what are you doing
This is really exciting being lost like this!,هادشي شيّق بزّاف هادشي!,this is very interesting!
When will you help me?,متي ستساعدني؟,When will you help me?
"You have to mix it with with lime juice, sugar and ice",عليكي مزجها مع عصير الليمون والسكر والجليد,you should mix it with lemon juice and sugar and ice
"Thank you, I tripped!",شكراً لك، تهافت!,"Thank you, I'm sorry!"
i will come to you now,غادي ناتي اليكي بزّاف,i will come to you very much
you will stay like this ,ستبقين هكذا,you will stay like this
how do you calm the player,كيف تهدّئ اللاعب؟,How do you calm the player?
Or do you mean for you?,أو ماتعنيه لك؟,or what she means to you?
why arent you dropping your bad habbits,علاش مابغيتيش تهدم ديال ديال ديالك,Why don't you want to bring down your house
the eyes see but the hands cannot reach,العينان تريان ولكن الأيادي لاتستطيع الوصول,the eyes you see but hands can't reach
i thought that he will object to that decision,كان ليا كانش ليا ليا راه ليا هاد القرار ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,i had this decision
you yelled at me,صرختي ليا,you yelled at me
i know him sister,أنا أعرف شقيقته,I know his sister
malak's name,اسم ماليك,your name
that is my taste,هادشي ليا,this is for me
i did not gain anything from this business,أنا ما كسبت شي شي شي من هاد العمل,i won nothing from this job
you tell him where is your sister,قل له اين اختك؟,Tell him where is your sister?
dont have too many friends,ماعندي مايزيد من الصداقين,I don't have any more friends
when does the bank open,متى سيفتح البنك؟,When will the bank open?
Why don't you want to hang your clothes,علاش مابغيتيش تسكّر لباسك,why don't you want to get drunk
be silent a bit,غادي تسكت قليلا,I'm gonna shut up a bit
I thought what's the harm If I went to see her. ,فكّرت ما الضرّيّة لو ذهبت لرؤيتها.,I thought what would be necessary if I went to see her.
I'm an American,أنا أمريكي,I'm an American
A lot of artists have from obesity.,الكثير من الفنانين لديهم من البدانة,a lot of artists have fat
it is a promising domain,هادشي ديال ديال واعدة,this is a promising day
this what is following you,هادشي هادشي هاداك,that's what this is about
does this road go to Dakhla,هاد الطريق هادشي ديقولا,That's the way to say
I'm thinking if this train is fast,كانفكّر لو كان هاد القطار سريع,I'm thinking if this train is fast
I'm thinking if he can drive well,مانفكّر غادي يوصل بزّاف جيّد,I don't think he's gonna get too good
i forsake it,غادي نخليها,we're gonna clear it
i dont have a sister,ماعندي ختي,i don't have a sister
I got a hair cut,عندي شعرة قصّة,I have a hair story
i will not call you now,أنا مانبغيش نكلّمك الآن,I don't want to talk to you right now
let me see,خليني نشوف,Let me see
Is that right?,هادشي صح؟,"That's right, isn't it?"
why are you storming,علاش تهدر بزّاف,Don't waste too much
your good health,صحّتك جيّدة,you are good
you are looking for trouble,واش تبحثي عن شي حاجة,dont look for something
go forsake him,غادي نديرو عليه,go turn on him
which city?,ما هي المدينة؟,What is the city?
just a little bit and we wil lgo,واش قليلا واش غادي نمشي,I'm gonna go for a walk
how was your exam,كيف كان إمتحانك؟,How was your exam?
too much remain,باش بزّاف بزّاف,what's too much
i have to buy a new one,أنا غادي نشتري واحد جديد,i will buy a new one
I can barely walk these days,أنا ماقدرت نمشي هاد الأيام,i can't go these days
"All right, we'll take it later.",كل الحق، ونحن سَنَأْخذُه في وقت لاحق.,"all right, we'll take it later."
i'm proud of you daughter,أنا فخور بإبنتك,I'm proud of your daughter
i dont think the police will call him,مانضنش مانضنش البوليس سيتصلو عليه,I don't think the police will contact him
what is the most ridiculous thing you believed as a child?,ما هو الشيء الأكثر سخفا كنت آمنت بها كطفل؟,What is the most ridiculous thing you believed in as a child?
this car is fast,هاد السيّارة سريعة,this car is fast
My book is partly based on facts,كتبي شيّف بزّاف على حقائق,my book is too good for facts
I still haven't decided,أنا مازلت ديال ديال ديال ديال ديال,I'm still in the field
i will not make it easy for me,أنا مانجعلها سهلة ليا,I'm not making it easy for me
you understand nothing,مافهمتيهش حاجة,you don't get it
reliable car,هادشيات ديال بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,this is too much too much too much too much too much
He is bald,هو ديال ديال,it's a field
what else then,راه غيرك,he isn't you
i bought olive oil,شريت زيتو زيتو,i bought olive oil
its resting time now,راه وقت هادشي,this is my time
me and you,أنا و أنت,me and you
i took a spot for hospital,أخذت بزّاف في المستشفى,i took too much in the hospital
i thought that they will apply the regulations,واش كانو سيطبقو لائحتي,if only they were going to apply my list
everyone gave me its back,راه ليا كلشي بزّاف,it's too much
He knows his mother can't handle it.,كان يعلم أن والدته لا يمكنها التعامل مع ذلك,he knew his mother couldn't handle it
i go back to sleep morning,غادي نرجع ننام نهارا,I will go back to sleep day
Shall I make you a hot chocolate?,علاش نعد لك شيكولاتة حارة؟,Can't we make you hot chocolate?
He got scared,خايف,scary
is she not like me,راه ماشي مثلي,he is not like me
there's a cozy italian restaurant downtown,هاد هو مطعم إيطالي بوسط المدينة,this is an Italian restaurant downtown
i was supporting you,أنا كُنْتُ نَدْعمُك,I was supporting you
Or we could be lost here forever.,أو يمكن أن نضيع هنا للأبد,Or we could lose here forever
how is education structured in this particular land?,كيف كان التعليم منظم في هذه الأرض بالذات؟,How was education organized in this particular land?
Why don't you want to compassionate me when i'm sick,علاش مابغيتيش تهشمني و أنا مريض,Why don't you want to break me when I'm sick
why did you just came,علاش مابغيتيش بزّاف,Why don't you want to be so much
I'll go eat,أنا غادي ناكل,i will eat
you should never gime me excuses,مابغيتيش تاغيّر ليا ديال,you don't want to change me
i think if i got injured,كانفكّر لو غادي غادي تا,i'm thinking if i'm gonna come
you made me smile even if i'am upset,جعلتيني أبتسم حتّى لو كنت منزعجة,you even made me smile if i'm upset
he is a stupid,راه غادي,he is going
Become better than you were ,راه أفضل منك,better than you
I'm waiting for you justify the project,كانتسنّا فيك تبرّر المشروع,I'm waiting for you to justify the project
I think of going to sleep,فكّرت باش نخلّد للنوم,I thought I'd go to sleep
just dont be reliable,فقط ماكون غير مؤكّد,I'm just not sure
i will go swing a bit,أنا غادي نمشي بزّاف بزّاف,I'm going to go too far
Do you think of reduce food intake,تفكّر بتقليص الما بزّاف,you think of cutting too much
"No, I haven't felt sociable or confident around people",لا، ماكانجيش نحسّ واش نحسّش على الناس,"No, I wouldn't feel the feeling on people"
what is your favorite winter activity?,ما هو نشاطك الشتوي المفضل؟,What's your favorite winter activity?
if only I could foget the surgery,كون غير قدرت غادي غادي ندير العملية,if only I could run the operation
this is true,هادشي حقيقي,this is real
you should never  affirm this new,مابغيتيش تؤكدي هاد جديد,You don't want to confirm this new one
"Yeah, this meeting here, it's gonna be hard to set up",نعم، هاد الاجتماع هنا، سيكون من الصعب ترتيبها,"Yes, this meeting will be difficult to arrange"
Where are you from?,من أين أنت؟,Where are you from?
he speaks too much,راه يكلّم بزّاف,he speaks too much
do you have the train's time table?,ماعندك جدول وقت القطار؟,Do you have a train schedule?
if I were me I would have knew,لو كنت أنا كنتاعرف,If only I knew
the health is not good,الصحة ليست جيدة,health is not good
do your job i pay you,قم بعملك وادفع لك,do your job and pay you
I have some water,عندي بزّاف بزّاف,I have a lot of money
Whatever,راه,hey!
i'am writing an article,أنا غادي نكتب مقالا,i will write an article
they are scammers,هادشي هادشي هادشي,this is what this is
you need to be independant,مابغيتيش تاكون عاقل,you don't want to be sane
we bought a house in summer,ابتاعنا بيتا في الصيف,We bought a house in the summer
Of course,واش بزّاف,What's the matter with you?
And you think we can run into other animals?,وتظنّ أنّنا نقدر نجري بحيوانات أخرى؟,And you think we can run with other animals?
they were waiting for him,كانو بزّاف بزّاف,they were too much
this is a lot,هادشي بزّاف,this is too much
Good night,شوية بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,too much is too much is too much
you should never to call him,مابغيتيش تناديه,You don't want to call him
Call someone,ناد ليه شخص ما,call him somebody
the teacher is thankful for this grading,معلّم راهب هاد الدرجات,Teacher is a monk in these grades
i rather go in taxi,أفضل نمشي في تاكسي,I'd rather go in a taxi
they cancels the voyages,راه ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,this is a dial of dial of dial of dial of dial of dial
What would you advise me to do ? ,واش تناصحني باش ندير؟,Why are you advising me to do this?
And I had tea bags!,و كان عندي أكياس شاي!,I had tea bags!
the start is hard,البدايه بزّاف,the beginning is too much
how I'am gonna take a taxi,كيف أنا غادي ندير تاكسي,How am I going to turn a taxi
That should be good.,هادشي هادشي راه,that's what this is
I was afraid of him,كنت خشيت منه,i was afraid of him
 you are too late to be young,تتأخري بزّاف باش تّكون شابّة,you are too late to be young
wake up ,نعيّو,he went
Between two dates,مابين موعدين,between dates
I dare you to answer this question,تحداك تجيبي على هذا السؤال,I dare you to answer this question
Today is history,اليوم هو التاريخ,today is history
I forget to drink water,نسيت أن نشرب الماء,i forgot to drink water
Let me get rid of him,خليني نتخلص منه,Let me get rid of him
Can you explain what you don't understand?,واش تفسّر ما ما ماتفهمه؟,Why do you explain what you understand?
eveyrhting is fine,راه شوية راه,there's a lot of money
leave me alone,خليني وحدنا,leave me alone
Especially at night?,خاص في الليل؟,especially at night?
i will tell you two words,أنا غادي نديرك بزّاف,i will turn you
he smokedtoo much,كانو يدخّن بزّاف,They smoked too much
Oh that's very kind of you,هادا هاد هاد بزّاف منّا,this is too much of us
i believe it should be on discount,مانضمن عليه ليا ديال بزّاف,what i guarantee is too much
I'm graduating next year,أنا غادي نتخرج العام القادم,i will graduate next year
What do you think about the entertainment idea?,ما رأيك في فكرة الترفية؟,What do you think of the entertainment idea?
now you are thinking,واش باش تفكّر,what are you thinking
"The best part is, you tell me why you wanted to come.",أفضل جزء هو، تقول ليا لماذا كنت تريد أن تأتي.,"best part is, tell me why you want to come."
he still remains the same,واش باش باش باش باش باش باش,what are you doing?
you were so late,غادي تاخرت بزّاف,i'm late
next time there will be a storm,في المرة القادمة ستكون عاصفة,Next time it's gonna be a storm
I like steamed beef,أنا أحب اللحم البقري,I love beef
I haven't finished hardwork today,أنا مانهيت العمل القاسي اليوم,I didn't finish the hard work today
you need many goods,حاجة بزّاف بزّاف بزّاف,too much is too much
we accept cash,نقبّل المال,Kiss the money
Do you need anything else?,مابغيتيش شي آخر؟,You don't want anything else?
don't be sad,ماشي غير حزين,It's not sad
airconditionned broke,راه راه راه راه راه,he did it he didn't do it
he was a good man,راه كان رجل صالح,he was a good man
I'm waiting for you to change your barber,كانتسنّا فيك تغيّر الحلاقة,I'm waiting for you to change the haircut
I want to see you now,مابغيت نشوفك الآن,i don't want to see you now
did you bought the clothes,واش اشترت ليك الملابس,she bought you clothes
I just don't like staying still,أنا فقط مابغيتي بزّاف,i just didn't want too much
When will we start the project we've been talking about?,متى نبدأ المشروع الذي كنا نتحدث عنه؟,When did we start the project we were talking about?
I keep thinking about you for the whole night,مانفكّر فيك طوال الليل,I don't think about you all night
You don't want to avoid this,مابغيتيش تتجنّب هادشي,you don't want to avoid this
I feel excited,حسست بزّاف,i felt too much
which one selss good veggies,راه واحد خابيل بزّاف بزّاف بزّاف,it's too late
this room is tiny,هاد الغرفة صغيرة,this room is small
anyone can go to this beach,واش مايستطيعو ليذهبو هاد الشاطيء,they can't go to the beach
they are not prideful,راه ماكانو بزّاف,they weren't too much
is there any news,هادشي أي خبر,here's any news
i will take meds on time,أنا غادي ندير ديال ديال الوقت,I'm gonna do time
your mother's food,غذاء أمّك,your mother's lunch
wear well rain is coming,واش غادي غادي تمطر,it's not gonna rain
Sure.,تأكّد,check
its your turn now,دارك الآن,now!
how do you relax after a long day?,كيف ترتاح بعد نهار طويل؟,How do you rest after a long day?
i thought that  he will learn to wash his clothes,كانضنّا غادي يتعلّم كي يغسل لباسه,I thought he'd learn to wash his clothes
hello,هادشي,that's it
i was tired,أنا كُنْتُ مُتعّبَ.,I was tired.
i want only to do you good and to let you rest,مابغيتي إلا نديرك و ندعك ترتاح,You only want me to turn you and let you rest
the oil is hot,ديال الديال حارة,it's hot
if only I could jix myself,كون غير قدرت غادي نحس,if only i could jinx
i dont know him,أنا ماعرفه,I don't know him
he knows city people,راه ديال ديال ديال,it's a lot
are you gonna live in it,واش ستعيشي فيها,you will live in it
didn't you being cautious to her,واش ماكنت تحذري عليها,why you wouldn't be careful about her
I dare you to be strict with your children,أنا تحداك أن تكون متشددا مع أطفالك,I dare you to be tough with your children
Have you gotten plastic surgery,واش باش تجري ليك عمليّات تجميليّة,what do you do with plastic surgery
bono almost made a mistake,راه كادت تاهال غلطة,i almost made a mistake
But my teacher back in school used to spend all her time knitting in class and would never explain anything properly.,و لكن معلمتي في المدرسة كانت تقضي كل وقتها في الحياكة في الفصل و ماكانت تفسّر أي شي بشكل صحيح,But my teacher at school spent all her time sewing in class and she didn't explain anything correctly
The pants don't suit me,البنطلون لا يناسبني,the pants are not good for me
its forbidden to touch,راه يمّس,he's touching
wash your clothes,غادي لباسك,suit yourself
we are well elevated,راهنا راه راه,there is a rat
It's a shame,راه عار,it's a shame
You don't want to get along with your fam,مابغيتيش تمشي مع ديالك,You don't want to go with your parents
he went to get engaged,راه خايب,he's a bad guy
be quick,كونوا سريعين,Be quick
i took many meds,أنا أخذت عدّة أدوّيات.,I took a few pills.
I think I heard the bell for the evening meal,واش كانني سمعت ليا قرعة لوجبة اليلة,i didn't listen to a meal tonight
i will will not speak to teacher,أنا غادي ماتحدث معلّم,i'm not talking to a teacher
he was simple,كانو بزّاف,They were too much
What a good idea,ديال فكرة جيّدة,good idea
I started screaming at him,أنا بدات نصرخ عليه,I'm starting to yell at him
god helps you,الله يساعدك,God help you
this is a true gift,هادشي هديّة حقيقيّة,this is a real gift
oh god,يا الله,"Oh, God!"
you are insane,أنت مجنون,You're crazy
Vegetable it is,هادشي هادشي,this is it
i thought that he postponed that class,واش كان ليا غادي يرجا هاد الصف,i didn't want to beg this class
I've pressed it but we are still not moving.,أنا ضغطت عليه ولكنا مازلنا مازلنا نتحرّك.,"I pushed him, but we're still moving."
please help your self,من فضلك ساعدي نفسك,Please help yourself
you should never shake his hand,مابغيتيش تهزّ يدّه,You don't want to shake his hand
I dont think i will  fix you this time,مانضنش غادي نوصلك هاد المرة,I don't think we'll get you this time
if only I could leave this country,كون غير قدرت ندير هاد البلاط,if only i could run this tile
I'll pay if you like,أنا سَأدبّر إذا تَحْبُّ,I'll mind if you like
It's hard to choose,من الصعب الإختيار,It's hard to choose
Why don't you want to improve your life,علاش مابغيتيش تحسّن حياتك,Why don't you want to improve your life
we will separate the house,غادي نفرق هاد البيت,we are going to split this house
i will not read these stories,مانبغيش نقرأ هاد الحكايات,I don't want to read these stories
My brother is sick,أخّي مريض,my brother is sick
We'll see if you have so much on the next exam!,غادي نشوف هاد بزّاف في الإمتحان التالي!,I'm gonna see this one on the next exam!
i did go to him in morning,أنا غادي نمشي عليه في الصباح,i'm gonna walk him in the morning
Or they make you another one that's well made. ,أو يصنعو ليك واحد آخر راه جيّد.,Or they make you another good one.
I'll be back in a minute,غادي نرجع في دقيقة,i will be back in a minute
You don't want to bargain with him because he knows the skin,مابغيتيش تساومي معه ليعرف البشرة,you don't want to talk to him
"Thank you, Mr Bojm3a",شكراً لك، سّيد باجما,"Thank you, Mr. Bacima"
Why don't you want to find side income,علاش مابغيتيش تجدي دخل جانبي,Why don't you want to find a side entrance
But I'll eat any flavour you give me,لكن أنا غادي نا غادي نادير ليك,but I will call you
did your brother went to spain,واخيك ذهب لـ تاشن,your brother went to Tashan
Have you tried to invent a good thing,عمرك جربتي بإختراع شي شي جيّد,Have you tried to invent something good
My father is sick,والدي مريض,my dad is sick
i'm thinking we could grab some dinner before the movie,مانفكّر غادي نتعشّي بزّاف بزّاف قبل الفيلم,I don't think we'll eat too much before the movie
to be serious,كي يكون جدّي,to be serious
I'm wondering if I protect him,غادي نتساءل إن كنا نحميه,I'm wondering if we can protect him
I just want to take a long hot shower and have a beer.,مابغيتي غادي نجري ديال ديال ديال ديال ديال ديال واشرب بيرة,i don't want to make dial dial and drink beer
i go throught a crisis,غادي نمشي في أزمة,I'm going to be in a crisis
You have to put more cream in it,عليكي تاضعي المزيد من القماش فيها,you should put more cloth in it
i will not appreciate you anylonger,أنا مانقدرك ديال ديال ديال ديال,I don't appreciate the dial
she went to her husband,سافرت لخليلها,i went to her boyfriend
I only found hard labour jobs,أنا فقط وَجدتُ عملاً شاقّاً,I just found hard work
I'm tired,أنا تعبة,i'm tired
Chill out!,شيّل ليا ديال ديال!,give me a lot of money!
i want fish minced meat,مابغيته هو سمكة لحم فاطمة,I didn't want to be a meat fish
did you go to sleep,واش غادي تنام,he's gonna sleep
you went to casa,ذهبتي لدارو,you went to home
the photo isnt clear show me a website full of cars,صورة غير واضحة تشوف ليا موقع ديال لسيارات,an unclear picture shows me the location of a car
Have you tried to kill an animal,عمرك جربتي قتل حيوان,Have you tried to kill an animal
i will never marry,أنا مابقيت نتزوج,i'm still married
i was with my friend,كنت مع صديقي,I was with my friend
this programme advises praying,هاد البرنامج هادشي هاد الصلاة,this program is a prayer
I didn't know what to do after graduation,ماعرفتش علاش ندير بعد التخرج,i don't know what to do after graduation
always be good,ديال ديالنا,ours
go discuss it together,واش نديرها معا,we do it together
i wanna end all,أنا غادي نهدّي كُلّ,i will present all
give me my rights,عطيني حقوقي,give me my rights
i never felt what i felt with you,ماعشقت ماشعرت به معك,i didn't like what i felt with you
they make me angry,علّموني بزّاف,They taught me too much
he don't want to be late,مابغيش يتأخر,You don't want to be late
is it differentiation or integration you're needing help with the principle of?,شي تفريقي ام تكاملي ماتحتاجين عونا مع ديال ديال ديال ديال ديال؟,do you not need help with a dial of dial?
"You'll see, the journey will go well, I'm sure!",سترين، الرحلة ستسير على ما يرام، أنا متأكد!,"You'll see, the trip will go well, I'm sure!"
Did you write the letter to Hassan?,هل كتبتي الرسالة لحسان؟,Did you write a letter to Hassan?
his eyes were glazed over,عيناه كانتا مغطاة من فوقها,His eyes were covered from above
My bedsheets are covered in ice-cream,شفرات سريري مغطاة في آيس كريم,My bed code is covered in ice cream
this boy helps me,هاد الولد يساعدني,this boy is helping me
we drank a glass of atay,شربنا كوب من التايو,We had a cup of tea
I am a bit depressed,أنا مكتئبة قليلا,I'm a little depressed
she loves him,كانت تحبه,she loved him
what do i do now,واش ندير ليا ديال ديال,do you want to do a good job
I dare you to hide your wife,تحداك تاخفّي على زوجتك,I dare you to hide from your wife
What's good for him?,ماالخير لة؟,what's good for him?
Thank you so much for your help,شكرا جزيلا على مساعدتك,Thank you so much for your help
my tooth hurts me,سنتي تؤلمني,my year hurts
Let me charge my pc,خليني ندير ليا ديال ديال ليا,let me do my job
they are not children anymore,هادشيش ماشي ديالهم بزّاف بزّاف,It's too bad for them
I will give him a pacifier until he falls asleep.,أنا غادي تعطيه هاد العيد حتى ينام,i will give him this holiday until he sleeps
I'm waiting for you to continue traveling,كانتسنّا بزّاف بزّاف باش بزّاف بزّاف,I've been waiting too long
They are quarreling,هم يتشاجرون,they are fighting
You go out with friends a lot lately?,واش تخرج مع اصدقاء بزّاف بزّاف بزّاف؟,Are you going out with friends too much too much?
he said bad stuff,قال شي شي شي حاجة,He said something he needed
its not a big deal,ماشي ماشي بزّاف بزّاف,It's not too much
if he isnt present i wont find you,غادي ماكانش مانجدك,i will never find you
He plays basket ball with you?,راه يلعب بلاة معاك؟,Is he playing with you?
you dad is noisy,أبّاك صاخب,your father is loud
what do you  want to know now,علاش مابغيتي تعرفي عليه الآن,why do you want to know him now
i made some new friends,كونّيت بزّاف بزّاف جديد,i've been too late
Without asking me anything.,بلا حاجة لسؤالي أي شي,Don't need to ask me anything
to sit a bit ,غادي تجلسي بزّاف,i will go sit down
pop will be great,البوب غادي يكون عظيم,the door will be great
if only I could meet you,كون غير قدرت نقابلك,if only i could meet you
dont bother i'm good for now,مابغيتيش أنا جيّد في الوقت الحالي,i don't want to be good right now
we go see our application for internship,غادي نشوف طلبنا لدار التدريب,I'll see if we can find a training home
what kind of music do you like?,كاي نوع من الموسيقى تحبها؟,What kind of music do you like?
Who is this?,من هادشي؟,who is this?
i dont have money,أنا ماعندي مال,i don't have money
They don't take resignation. ,واش مايأخذو شي شي هاد الهادشي,they don't take anything like this
this boy is too familiar,هاد الولد راه جدا,this kid is very nice
you should never sabotage your project,مابغيتيش تخرّب مشروعك,You don't want to ruin your project
nothing rest too much,راه غير راه بزّاف بزّاف,he is too much
I do not have much cooking experience,ماعندي خبرة في الطبخ,I don't have cooking experience
You don't want to get good pictures,مابغيتيش تكوّن صور جيّدة,You don't want to make good pictures
