tgt,src
I'm thinking if i should change the road,تانفكّر واش غادي نغيّر الطريق
what's a lesson you've learned from a difficult experience?,ماهو درس تعلمتيه من تجربة صعبة؟
like this,هادشي
each one have their own fate,كل واحد ديهم ديالهم ديالهم
you should go,عليك أن تذهب
just want quality,بزّاف بزّاف بزّاف بزّاف بزّاف
you are too late to choose what to study,بزّاف بزّاف باش تختّر ما تدوّن
thank god i found you,الحمد لله وجدتك
occasion,راه
i jhave the flu,غادي نحسّر الإنزلاق
I live in suede,أنا أعيش في سبيا
Have you tried to exportate your goods,عمرك جربتي تفقّد بزّاف بزّاف
I will do that stuff,غادي ندير هادشي
Everyone has their bad side hidden.,كان كلشي واحد خايب خايب.
is there any letter for me,هادشي شي شي رسالة ليا
I don't get it,مابقيتش نديرها
When will you come up with a new idea?,متّا غادي تاتي بفكره جديده؟
our son grew up,ولدنا كبر
i thought that he wil lcustomise good shirt,كان كيسحاب ليا غادي يكوّن قميصا جيّدا
if only I could fool you,كون غير قدرت نخدعك
I will give him a pacifier until he falls asleep.,أنا غادي نعطيه مزيان حتى يغفو
is this bad,هادشي هادشي سيئ
i will bring you the bike,أنا غادي نجيبك دراجة
its important you learn to swim,هادشي تتعلّم تسبح
Have you tried to control this juice,عمرك جربتي تحكمي على هاد العصير
why did you follow me ,علاش تتبعتي ليا
why you do this,علاش تفعل هادشي
arent we gonne lunch together,واشنا غادينا معا
i want to send it to another boy,بغيت نرسلها لولد آخر
go make a salade,سيرو فهاد ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
"let's have a cozy night in, just the two of us, with our favorite comfort food",واخنا غادي نا غادي نرتاح معا، معانا معا، بطعام راحنا المفضل
I dare you to solve this provlem,نتحداك تحلي هاد الحاجب
i only eat it during ramadan,أنا غير ناكلها اثناء الرامان
this year they eat is between them,هاد السّنة يأكلو بينهم
distubance,ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
I know no one,ماعرفتش واحد
i want dreams to turn to truth,بغيت احلام تحوّل لصح
she told me again that stuff,قالت ليا مرّة أخرى هاد شي حاجة
It's possible that you get tired and fall,ممكن تهدر و تنهار
He has a good sense of humor!,عنده حسّ الفكاهة!
I don't like bad behaviour,مابغيش شي خايف
I get enough of you,أنا غادي ندير عليك
It's a tradition,هادشي شي تاج
where are you goinf,فين غادي تا غادي
i need noth,مابغيتش
i wore my clothes,لبست لباسي
i don't like besara,مابغيش ماكانشيشي راه
"We're gonna find their phones in my computer, don't worry.",غادي نجد هواتفهم في حاسوبي، لا تقلق.
I dont think i will  flex on you,مانضنش غادي نمشي عليك
I dare you to ask for loan,تحداك تطلبي قرض
I'm going to the mosque,أنا غادي نمشي للمسجد
you are stable,راه راه ديالك ديال ديال ديال ديال ديال ديال ديالك ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
she were washing clothes today,كانت تغسل ملابس اليوم
Do you promise?,واش تعدني؟
i will never forget,مابقيت غادي ننساها
it is too late to speak,فات الأوان على الكلام
you should see if you have vitman dificiency,واش تشوفي ماعندك ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال الڤاتمان
she made me afraid for her,راني خايف عليها
do you enjoy socializing with a small group of friends or a large crowd?,واش تستمتعي باش مع مجموعة صغيرة من الاصدقاء و جموع كبيرة؟
Without explaining to me anything,بلا شرح ليا شي حاجة
This clown looks funny,هاد المهرج يبدو طريف
my eyesight has decreased,عيناي تراجعت
he is late to party,راه بزّاف بزّاف بزّاف
she won't take from me money,ماكانتش تاخدش ليا الفلوس
he grab me from my hair and pull me to earth,خايني من شعري و سحبني لأرض
Let me ask you,خليني نطرح عليك
get married ,زوّج
they change time in ramdan,غادي يغيّرو الوقت في رامدان
"Yes, I think you're right.",نعم، أعتقد أنك على حق.
are we okay ?,كونو بخير؟
i will not take you to a doc,مابقيتش مابقيتش نوصلك لطبيب
how do you prefer to exercise?,كيف تفضلين التمرين؟
go shop with him,سيري تسوّق معاه
its good,راه جيّد
i will explain it to you,أنا غادي نوضّح ليك
i hope i coach a big team,كانتسنّا ندير فريق كبير
if she is available,راه راه بزّاف
i'm heading to my office,أنا غادي ندير ديال ديال ديالي
You don't want to gaze,مابغيتيش تفقس
You must come visit me soon,عليكي تزورني قريبا
who lied to you,راه راه راه ليك
Mrs.,راه.
I'm waiting for you to go for a swil,كانتسنّا فيك تمشي بزّاف
I was going to the library,كنت ذاهبا إلى المكتبة
you are sick,واش مرضتي؟
you are too late to  buy water,تعطلي بزّاف باش حاجة
the doctor prescribed medications for me,الطبيب وصف ليا دوية
its important,راه
i will attach,أنا غادي نوصلك
I think I'm going to sleep,كانضن غادي ننام
importantly you should prepare mentally for penalties,خاصّك تجهزي ديال لعقوبات
"Oh no, they're too cute",أوه، لا، هم بزّاف جدا.
I dont think i will think about these problems,مانضنش غادي نفكّر ف هاد المشاكل
i'll have fish,أنا غادي نملك سمكة
he left me alone,تركني بوحدي
what's a piece of advice you'd give to someone starting a new adventure?,مانقصّد النصيحة التي تقدّمتها لشخص يبدأ مغامرة جديدة؟
i will go to pharmacie,أنا غادي نمشي فراساسي
do i have a hole in my stomach,واش عندي خسارة في معدتي
the bottle is empty,القارورة خاوية
i'm happy this day,أنا سعيد هاد اليوم
I want to pass the exam,بغيت ننجح في الإمتحان
you dont know already,عمرك ماتعرفه بزّاف
i thought that he will do an operation,كان كان كيسحاب ليا غادي يدير عملية
I don't think it's me,مانضنش هادشي ليا
i will debate you,أنا غادي نتناقش عليك
He is eating a sandwich,راه ياكل ساندويتش
i dont hide nothing,مابقيتش نخفيش شي حاجة
cross...,واش...
i'm from the fans,أنا من المعجبين
parents still here everyone else go,ديال ديال ديال ديال ديال ديال ديال ديال ديالنا
she is nice,راه راه
if you need something,واش تحتاج شي حاجة
what do you wanna mean,أشنو مابغيتيش نعيت
if only I could get a good grade,كون غير قدرت نصبح راه راه
count this 2000 rial,كون هاد 2000 ريال
i don't undersant,أنا ماعندي ديال ديال بزّاف
what did you say before penalties,واش ماقولتيه بزّاف بزّاف بزّاف بزّاف
beside your mother,بزّاف أمّك
The engineer designed a beautiful house.,المهندس صمم بيت جميل
what did you buy,واش شريتي ليك
consider this idea,فكّر في هاد الفكرة
i need you with me,بحاجتيك معايا
i'm waiting for you to go to the mall,كانتسنّا باش تسافري لدار التسوّل
if only i wrote a book,كون غير قدرت نكتب كتاب
didn't you see my glasses,مابقيتيش تشوف نظارتي
what's the most exciting match event you've attended?,واش هاد ليا بزّاف بزّاف بزّاف بزّاف بزّاف باش بزّاف باش باش باش باش؟
pay in the cash register,دسّا في سجلّة الفلوس
"Haha, you crack me up!",هاها، حطمني!
Please wait out side,راه خايب فينّا
let's go swim,خلينا نسبح
Do you know where my glasses are?,واش عارفين فين نظارتي؟
this dogs scares me too much,هاد الكلاب تخوفني بزاف
you went,راه مشيتي
OK then we will need to steal the money from the bank.,أوك غادي نسرق المال من البنك
if only i cut the papers,كون غير قدرت نقطع الاوراق
you are beautiful,واش هادي بزّاف بزّاف
if only I could ask you ,كون غير قدرت ن سالك
Come cook your lunch,تا غادي تا غادي ديالك
where is my passport,أين هو جوازي؟
Are you married?,واش معاك؟
you should never improve this country,عمرك تبدلي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
you are too late to leave,تعطلي بزّاف باش تغادّر
I didn't quite understand that question,مافهمتش هاد السؤال
i want to write,بغيت نكتب
what do you know about him,أشنا ليك تاعرفي عليه
just drop it,فقط تا غاديها
wanna talk a bit ,مابغيتيش نهدي ليا شوية
people are chiling and me I'am doing hardwork,ناس تهليل و أنا أنا ندير عمل بزّاف
I didn't finish my studies,واش مايكمل ليا ديال الدراسات
its bad not be able to sleep,ماشي خايف غير قادر على النوم
i didnt finish the table,مابقيت نكمل ديال ديال ديال
this place isnt sufficient for both of us,هادشي المكشوف غير كافي لكلا منا
Why dont you want to strengthen your ties,علاش مابغيتيش تقوي علاقتيك
I miss my grandmother,تفوّت على جدّتي
i need someone to help me,خاصني شخص ما ليساعدني
Where is the toilet?,واين المراحيض؟
Where is the bread ?,أين هو الخبز؟
we need more animals,نحتاج المزيد من الحيوانات
What shall we give them to eat?,أشنو نعطاهم ليأكلو؟
Why don't you want to salute me,علاش مابغيتيش تحييني
you are too late to  try this sport,تعطلي بزّاف باش تجربي هاد الرياضة
I turned it down,راه غيرت ليا
He looks angry,راه غاضب
without losing your reputation,بلا خسّر سمعتك
tell me something,قل ليا شي حاجة
always traveling,راه تسافر دابا
my neighbor sons died,راه ماتو
I dare you to assist for the class,نتحداك أن تساعدي في الفصل
I'm taking the bus,أنا غادي نستقل الحافلة
sing us a song,غنّينا هاد أغنية
she's eating candy,راه تاكل حلو
"What's wrong with him, poor thing hiding.",ما خطبه، مسكين يخبّط.
i brought 800dh,أنا جعت ليا ليا 800dh
too sweet,بزّاف بزّاف بزّاف
why did you scare me?,علاش رعبتيني؟
their turn,راه ديال ديالهم
are you a music lover?,كونتي محبة ديال الموسيقى؟
i will not use a website to my restaurant,مابقيتش نستعمل موقع على مطعمي
I'm waiting for you to make me a good meal,كانتسنّا فيك تدوّن ليا وليمة جيّدة
"Oh, yeah, that's what I'm talking about",أوه، نعم، هادشي هادشي
i will play sports,أنا غادي نلعب رياضة
you must have it to go,واش عندك هادشي
you hurted your mom with this talk,آذيتي أمك مع هاد الكلام
is there some problems,واش بزّاف المشاكل
i thought that  he will get executed,كان ليا غادي يهادّم
Would you like coffee or tea?,واش تبغي قهوه أو شاي؟
i was happy when i saw it,أنا كنت فرحة واش راها
he is looking for rent,راه يبحث عن الايجار
he cant be separated,راه ماشي يفرقو
hamdolah good,هاد الله خير
take his chamber,راه راه ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
i thought that he will start from scratch,كانضن غادي يبدأ من الصفر
he wore a cap to shield himself from the sun,راه راس ليحمي نفسه من الشمس
Have you travelled much?,هل سافرتي بزّاف؟
yesterday,واش باش باش باش باش باش
you will never hear this word,مابقيتيش تسمعي هاد الكلمة
please pray to god for her,من فضلك صلي لله من أجلها
"Yes, I was able to have lunch",ليا، قدرت نا غادي تا غادي
what did you do,أشنو ماعملتيه
Have you tried to continue your education,عمرك جربتي تكملي تعليمك
no one will save you,ماشي غادي ننقذك
give the heritage,عطا هاد الوراثة
the money is insufficient,المال غير كافي
Her sister is very sick.,أختها مريضة جدا
this is his situation ,هاد هاد الحالة
You've got 15 days before the presentation date to get the job done,عندك 15 يوما قبل تاريخ العرض لإنهاء المهمة
he is joking,راه يمزح
it easy for you to accuse people,سهل عليك تتهم الناس
Never give up,واش تخلّي
It's a repeat,هادشي تكرّر
i did cause a scandal,أنا غادي تسبّبت فضيحة
hold the bag,علّق الكيس
i was dying of boredom at work today,كنت أحتضر من الملل في العمل اليوم
do you want me to help you with something,واش بغيتي ليا نخدمك شي شي شي حاجة
Where's the post office?,أين هو مكتب البريد؟
he is my own son,راه ليا ولد ليا
It's okay,راه باش بزّاف
what kind of work,كاي نوع من العمل
except for joy,عدا الفرحة
dont waste my time,بلا تهدر وقتي
i will not exhange my money to dollars,مابقيتش نغيّر ليا مالي لدولار
dont loook behind,بلا غادي خايف
I plant plants,واش نتنبت ديال الخضرة
put it in another streer,راه ليا غادي غادي ندير
We may lose ourselves or trip over an obstacle and hurt us,واش نخسّر نا و نمشي على راس و نجرحنا
its demeaning for her,هادشي ليها
have a safe trip,ديها رحلة آمنة
my desk isnt new,مكتبي ماشي جديد
remember when we thought getting a driver's license was the ultimate freedom?,تتذكّر عندما كنّا نفكّر إمتلاك رخصة قيادة كان الحريّة النهائيّة؟
I want to send this to the United States,بغيت نرسل هادشي ديال أمريكا
look for your husband,شوف بزوجك
Every day there is an earthquake at this place,في كل يوم كان هناك زلزال في هاد المكان
cops did secret stuff,واش واش واش
i want to do sports,بغيت ندير ديال ديال الرياضة
how to use it?,كيف نستعملها؟
do you know to ,واش عارف ليا
a boat drown today,مركب يغرق اليوم
may god interven,ليا الله غادي ندخّل
let me tell you something,خليني نقول ليك شي حاجة
"So, that is the free woman. ",هاد هي المرأة الحرّة
god helps you,الله يعاونك
I dare you to to udnerstand this assumption,نتحداك ت باش تدوّر ديال ديال هاد الفهاد
i opened the box,فتحت الصندوق
i need to buy hives cream,خاصني نشتري كريم ديال ديال ديال ديال ديال ديال
do you enjoy going to the theater?,واش تستمتعي بذهابك للمسرح؟
I always eat my dinners here,أنا دائما ناكل ديال ديال ديال ديالي هنا
i did not understand,واش مافهمت
i want to go to country side,مابغيتش نمشي لبلاد
we living the hard life,عشنا الحياة العسيرة
Have you eaten at that restaurant?,واش تاكل ف هاد المطعم؟
you came back to house,رجعتي لدار
she loves him,كانت تحبه
it's not far,ماشي بزّاف
when you will come back,واش ترجعين
Thank you so much!,شكرا جزيلا!
Do you want to go with me?,واش نمشي معاي؟
you should never buy an unauthentic book,عمرك لا تشتري كتاب غير حقيقي
am i the one who started trouble,أنا أنا من عانيت من المشاكل
get this mess away from me,أبعدي هاد الفوضوية عني
where are you traveling,فين تسافر؟
i saw him before,راه من قبل
its too slow,راه بزّاف بزّاف
book messing pages ?,كتاب ماسكات ديال صفحات؟
Not that you work too hard,ماشيش تاعمل بزّاف
be silent a bit,إسكتي قليلا
i will fix a table,أنا غادي نصلح طاول
the oldman has just shown the policeman his driving license,ديال راجل شوف ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
a good people,ديال ناس طيبين
I am shaking,أنا راهج
forgave me I didn't mean it,غفر ليا ماقصدت
if only i aimed at you,كون غير قدرت نوجه عليك
you are a naive,واش ساذج
i didn't sleep yesterday,مابقيتش غادي غادي غادي
He is not feeling well,راه ماشي بصحّة
could find it,يمكن أن نجدها
This morning I got up at 7:00,صباح اليوم نهضت في السابعة
i thought that he will kick him,كان كيسحاب ليا غادي يطرده
they wanted one,راه كانو ليا واحد
i will not go through the mountain,مابقيت نمشي من خلال الجبل
connection get disconnected,كونو متصلين
I'd rather stay by the pool,أنا نفضل البقاء عند البركة
the window is closed,النافذة مقفلة
Smile!,إبتسمي!
if only I could elevate cattle,كون غير قدرت ندير المواشي
its better he gives us the topic,راه راه يعطينا هاد الموضوع
when we traveled we didnt stay one day,واش سافرنا مابقينا في يوم واحد
I dont think you will get  convocated,مانضنشش غادي تهجم
I am from the U.S.,أنا من أمريكا
paper needed,واش بزّاف
All right.,واين هادشي
bro i dont know,أنا ماعرفش
did you know what happened,واش عرفتي ماشي حدث؟
give me someting to clean,عطني ليا شوية تنظف
she needs to be supportive,خاصها كي تكون الداعم
you work very well,واش تعمل بزّاف بزّاف بزّاف
I was only being humourous,أنا كنت غير مراوغة
he is coming to us again,هادشي ليا مرة أخرى
I'm organising the big event in London next week,أنا نهدف الحدث الكبير في لندن الأسبوع المقبل
she accepted,تقبلت
this place hurt me,هاد البيت جرحني
why you dont wanna wake uo,علاش مابغيتيش تشوفو
life is shortening,هاد الحياة تقصّر
she deosnt say yes,راه تا غادي تاقول نعم
I feel bored,غادي نحسّ الملل
Leave me in peace,خليني في سلام
i haven't seen you for while,مابقيت نشوفك بزّاف
she told me to eat,قال ليا غادي ناكل
Where did you work before you worked here?,أين كنت تعمل قبل أن تعمل هنا؟
you are too late to meet your firends,تعطلي بزّاف باش تلاقي ديالك
I read all the novels of this author,قرات كل روايات هاد المؤلف
the news made her depressed,هاد الأخبار ليها مكتئبة
a big politician,سياسي كبير
i will correct your mistakes,أنا غادي نحسّل أخطائك
no hope ,بلا أمل
I am definitely forgetting work,أنا بلا شك نسيت العمل
mind your business,سدي ليا راسك
each time you have meeting in some place,في كل مرة يكون عندك اجتماع في مكان ما
thanks,راه
turn right,دري يمينا
It's perfect!,راه كامل!
we have another thing to do,عندنا شي حاجة أخرى نديرها
who searched find,راه راه
you hid something,خبأتي شي شي حاجة
get out from this situation,نخرج من هاد الموقف
i thought that you will invest in this project,خيّل ليك غادي تاستثمري ف هاد المشروع
drink atay and play foorbal,راه واش نديرو شوية
She was sitting in a café.,كانت جالسة في مقهى
oil become too expensive,زيت غادي غليان بزّاف بزّاف
I know.,أنا عارفة
eat peaches its good,كتّل بزّاف بزّاف بزّاف
you worh nothing,واش مابقيش شي حاجة
rare case,واش راه بزاف
She gobbled she back here and And oil saturated sfenj.,غاسلت هنا و زيت ترقّع السفينج
all nature is green,ليا ديال ديال الطبيعة ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
i didn't find transportation,مابقيش عايدت الميول
I don't use this anymore,مابقيت نستعمل هادشي بعد الآن
she does not have enough confidence in the team,ماعندها ثقة كافية في الفريق
this is your gift,هادشي هديتك
you were late because eof me sorry,تاخرتي باش ندم ليا
what did you eat today,واش تاكل اليوم
You don't want to let the people down,مابغيتيش تخيّل الناس
i thought that the doctor examined him,كان كيظنّ أن الطبيب فحصه
she isnt hot,راه ماساخين
You can't judge a book by it's cover,ماقدرتيش تحكمي على كتاب عند شريع
i'm convinced that we've mastered art,أنا مقتنع باننا أتقننا الفن
he want to do analysis,بغيا ليدير التحاليل
every two hours,كل ساعتين
It is your choice after all,هاد هو خيارك بعد كل شي
look for my husband,شوف لزوجي
two years i didnt see him,عامان مابقيش راه
im tired after bac,كنت متعبا بعد بزّاف
you are talking nonesense,واش تتكلّم بلا شفقة
whats the problem,ماشي مشكل
i went to medina,مشيت بزّاف بزّاف بزّاف بزّاف
if only i confessed to him,كون غير قدرت نعتر عليه
I'm feeling a bit peckish?,واش ليا بزّاف بزّاف؟
let her tell them,خليها تقول ليها
get out,واش يخرجو
you will cry if i told you,غادي تبكي واش قلت لك
the doctor is upstairs,الطبيب في الطابق العلوي
Why don't you want to give me money,علاش مابغيتيش تعطني مالا
from emergencies today,من طواريء اليوم
i have the same idea,عندي نفس الفكرة
good recovery,تعافي جيد
I'm waiting for you to become better,كانتسنّا باش تتحسّن
 you are too late to read books,تعطلي بزّاف باش تقرا كتب
Have you been drinking already?,واش شربتي من قبل؟
think about your child,فكّر في ولدك
are you speaking with me,واش تهتف ليا
i came back to house,رجعت لدار
I think I need to see a doctor,كانضن ناغي نشوف طبيب
science makes you see thing,العلوم تجعلك ترى شي حاجة
Without turning on the air conditioning.,بلا تشغيل على مكيف الهواء.
i will see another one,أنا غادي نشوف واحد آخر
tell her im still late,راها أنا ما زلا تاخرت
let's go to the beach,خلينا نمشي لشاطيء
I guess you'e over 30 years old,واش تخمن عمرك اكثر من 30 عام
my mother want us to leave the house,أمّي تبغي منّا أن نخلي البيت
You don't want to help your sick parents,مابغيتيش تساعدي ديالك المرضى
and mind your business,واديري ليك ديالك
I don't like him,مابقيتش مايروق ليه
I dont think he will pay the guard,مانضنش غادي يدفع لحارس
they are left,هادشي هادشي
he was excited to ski,كان متحمسا للتزلج
i went to the pastry,أنا غاديت ف المخبزة
one scope of honey,واش غادي نعس من العسل
wealthy,راه
what am I hearing,راه أنا مسموع
this boy is not mature yet,هادا الولد ماشي نضج بعد
my dad has fled,راه والدي هرب
no one can harm him,مامن أحد يستطيع إيذائه
Ah jazz musician,ديال الجاز ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
if only I could affirm what you say,كون غير قدرت نتاكد ماتقول
look far,شوية بزّاف
"Yeah, probably.",نعم، على الأرجح.
plus it spends fund,بزّاف يفقّس فلوس
she is afraid to stay here,خشيت من البقاء هنا
Everyone knows,كلشي عارف
"Actually it's an experimental group, they combine a lot of music styles!",في الحقيقة هي مجموعة تجريبية، يجمعون الكثير من أساليب الموسيقى!
I think of  giving off my clothes,كانتفكّر باش تخلّص من لباسي
inform if something comes up,راه ليك شي شي حاجة
you are wise,راه غير حكيم
Have you tried to to get ashamed,عمرك جربتي تخجلي
you need to find another road,خاصك تجد طريق آخر
i kept thinking,باش كانفكّر
these people are not well behaved,هادشي ناس غير مهذبين بزّاف
have you decided,واش قرّرت
he is not her son,راه ماشي ولدها
think for him,فكّر فيه
how are you now,كيف حالك الآن؟
I feel sorry for her,واش نحس ندم عليها
go work on your future,غادي نخدم على مستقبلك
You don't want to catch,مابغيتيش نمسك
its mother who told me,امها ليا واش ليا ليا
where is the washing service,فين هي خدمة غسل الملابس؟
you irritated me this morning,ضايقتيني هاد الصباح
I'm talking about Marrakech,أنا نتكلّم على دير
Permanence of state is impossible ,إستقامة الدولة مستحيلة
your long hair looks absolutely stunning!,لشعرك طويل بزّاف بزّاف!
where did you buy cups,منين شيتي كاتسو؟
i dont think properlt,مانفكّر راه
leave that poor cat alone,خلّ هاد القطّة الموّردة
just leave me alone,خليني وحدنا
And you feel like she's on trial?,وحستي واش هي في المحاكمة؟
lets eat together,خلينا ناكل معا
they all give a one color,راه كل واحد يعطي لون واحد
i talk to her i feel bored,خاطبتها غادي نحس بضجر
take your kid to doctor,خدي ولدك لطبيب
He speaks fast,راه يهتّم بزّاف
A cup of cold milk,كوب من الحليب البارد
I dare you to pass the third month,تحديتك تامرو الشهر الثالث
what do you believe is the secret behind maintaining a winning mentality?,اشنو ماتصدقين هو السر باش نحافظ على عقلية رابحة؟
I suggest you take a break from alcohol,نقترح عليك تاخد راحة من الكحول
He always seeks you into account and he's afraid of making you upset.,دومًا ما يطلبك في حسابك و هو خايف يزعجك
I have a friend who's in a music group,عندي صديق في مجموعة موسيقية
im in a far city,أنا في مدينة بعيدة
the night is long,ليل طويل
Who wasn't very happy,واش ماكانو فرحين بزاف
I dont think i will cultivate good veggies,مابقيتش غادي ننبت هاد الخضرا
they use to run into a room,إعتادو يركضو بحجرة
"No offense, I'm not sure you're very popular with young women.",بلا اهانة، ماشي غادي مانعرفش شهاب مع النسوة الصغيرات
When are you going to get your stuff back from your friend?,متي غادي تستعيدي اشيائك من صديقك؟
reduce phone sound,هاد هادشي هادشي
i cant sleep at nighr,ماقدرتش ننام بزاف
she went to the kitchen to cook,خايت ف الماغي تا غادي تطبخ
tell em fast,راه راه بزّاف بزّاف
Would that be ok?,واش غادي يكون بزّاف؟
i don't want to yell at you,مابغيتيش نصرخ عليك
always be laughing,دابا نضحك
i wanna cook in kitchen,غادي نطبخ ف المطابخ
the best one among them,أفضل واحد بينهم
Don't pop that balloon,واش مابغيتيش تا بزّاف ديال البالون
i want you to live better then people,بغيتي تعيشي بزّاف فاش ناس
I can't stand this smell,مانقدرش نتحمل هاد الرائحة
what to do to get accepted,واش نديرو واش يقبلو
see the neighbor,سيري الجار
I'm thinking if i should buy him a gift,كانتفكّر واش نشتري له هدية
 you are too late to get a haircut,تعطلي بزّاف بزّاف باش تقصّ
I live in Spain,عاشت في إسبانيا
i will not answer you ,مابقيتش نجيبك
Have you tried to breastfeed your kid,عمرك جربتي ترضع ولدك
have you ever tried a new hobby?,عمرك جربتي هواية جديدة؟
If she comes she will anoying me,واش تاتي تا غادي تشوف ليا
Have you tried to surprise someone,واش جربتي تفاجّح شخص ما
i wont be here for two weeks,مابقيت هنا لأسبوعين
i have many acne,عندي ديال بزّاف بزّاف
but there no paid vacancies for this,و لكن مانوجدش ديال ديال ديال ديال هاد هادشي
are you new sis,واش هادشي جديد
he told me what happened,قال لي ما حدث
Ah.,آه
he work silently,راه يعمل بزّاف
what will happen to you,أشنو ليك
she isnt married yet,راه مازال غير متزوّج
i have a bad employee,عندي موظّف سيئ
Don't wash your face,لا تغسل وجهك
I'm waiting for you to deserve this,كانتسنّا فيك تهتّم هادشي
there is no space here,ماشي فراغ هنا
I hate going to the dentist,كرهت الذهاب لطبيب الأسنان
lets write ourself love letters,خلينا نكتب لينا رسائل حب
i will take this this bit,أنا غادي ندير هادشي
"She calls me by my brother's name, and I have to shout and keep repeating myself",تنادني باسم أخي، وعليّ أن أصرخ واش نردد على نفسي
pay attention too much,راه بزّاف بزّاف
you buy,راه شريت
we have,عندنا
there is no deals for gold,ماشي بزّاف بزّاف
i cant help you,ماقدرتش نخدمك
we played fairly,عزفنا بزّاف
go subscribe,راه ندير
i wil lbe at you,ليا غادي نشوفك
what did you say?,أشا نطقتي؟
if you have money give some,واش كان عندك المال عطا ليا
he brought her,راه جلبها
he didn't go by his car,واش مامشي بسيارته
just go now,سيري بزّاف
come take my son,خد ليا ولد ليا
my grandma invited me for rfisa,جدتي دعتني لروفيسا
My job,شغلي
you went to the miss,واش ذهبت ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
august,أول شهر
i will take reveange,أنا غادي ندير
I just came back from voyage,أنا فقط عُدت من رحلة
i will take photo in beach,أنا غادي نلتقط صورة في البحر
do you like castles being restored?,واش تعجبكم القلاع تعاد؟
go pray,سيرو صلّي
as you say,كما قلت ليك
I dont think live in the karyan,مانضنشش نعيش ف الكاريان
he is  very easy ,هادشي هادشي بزّاف
i have ambition,عندي طموح
I like a lot of bitter beer,كانعجبني بزّاف بيرة مريرة
he smokes in the balcony,راه يدخّن في الشرفة
go and never back,سير و مانرجع
she did bad to me,أشات ليا
I just came back from city,واش رجعت من المدينة
just,بزّاف بزّاف
i went back to bedroom,ورجعت لدار
what do you want now,واش مابغيتيش دابا
this water is dirty,هاد الميا مزيان
what do they make in the first day of eid,اشنو ديال في اليوم الأول من آيد
my friend came today,يا صديقي جاو اليوم
apply to your skin,طبّق على بشرتك
you're welcome,واش نرحّب بك
I've seen it,راه ليا
go stand with him,واش نبقا معاه
Why aren't you going?,علاش مابقيتيش؟
tell me what happend,قل لي ما حدث
he'll be eaten by rats,غادي ياكل من قبل الجرذان
this yacht is too big,هاد اليخت كبير جدا
we need to get you married,خاصنا نزوّجك بزّاف
Do you think we should go back?,واش باش نرجع؟
he go to him to accompagny him,غادي يذهب ليا ليا ليا راه
I'm waiting for you to intergrate this culture,كانتسنّا فيك ت ت ت تا هاد الثقافة
i thought that  he will get his dog,كانضن ليه غادي يحصل على كلبه
do you know what you did,واش عارف ليك ليك دابا
I won't telling you where is she,مانبغيش نجيبك أين هي
I will stay with her,غادي نبقا معاها
they can,واش يقدرو
life is hard,الحياة صعيبة
it would make me feel happier,غادي تجعلني نحسّس بزّاف
you don't need to say this,مابغيتيش تقول هادشي
More customers would be great.,المزيد من الزبائن سيكونو رائعين
I eat spinach,أنا آكل السبانخ
what's wrong with your eyes?,ما هو الخطأ في عينيك؟
you are too late to go dance,تعطلي بزّاف باش ترقص
spend the day with me,إقضي اليوم معي
everyone want to get rich,مابغيوش نصبح ثراء
I study at the university,ندرس في الجامعة
just finish,هادشي هادشي
Why don't you want to wash off you clothes,علاش مابغيتيش تغسلي ديالك
